gtId,sensor,type,status,detector,matchedRules,gtStart,gtEnd,detStart,detEnd,latencyMin,coveragePct,run_file
GT-0001,ST02_SEALING_TMP,SPIKE,COVERED,threshold,RULE-ST02-01,2026-01-06T08:30:00,2026-01-06T08:33:00,2026-01-06T08:30:00,2026-01-06T08:32:00,0.0,66.7,ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run1_20260804_125255.csv
GT-0002,ST01_FILLING_PRS,DRIFT,COVERED,threshold,ST01_FILLING_PRS,2026-01-06T11:00:00,2026-01-06T11:45:00,2026-01-06T11:39:00,2026-01-06T11:45:00,39.0,13.3,ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run1_20260804_125255.csv
GT-0003,ST04_PACKAGING_VIB,DRIFT,COVERED,drift|threshold,MAINT-01|ST04_PACKAGING_VIB,2026-01-07T07:00:00,2026-01-07T08:30:00,2026-01-07T07:47:00,2026-01-07T09:06:00,47.0,47.8,ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run1_20260804_125255.csv
GT-0004,ST03_LABELLING_TEN,STUCK,COVERED,stuck,MAINT-03,2026-01-07T09:30:00,2026-01-07T09:42:00,2026-01-07T09:35:00,2026-01-07T09:42:00,5.0,58.3,ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run1_20260804_125255.csv
GT-0005,SRV01_SERVERROOM_TMP,OUT_OF_RANGE,COVERED,threshold,MAINT-05,2026-01-07T12:00:00,2026-01-07T12:20:00,2026-01-07T12:00:00,2026-01-07T12:20:00,0.0,100.0,ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run1_20260804_125255.csv
GT-0006,CAF01_CAFETERIA_TMP,OUT_OF_RANGE,COVERED,threshold,CAF01_CAFETERIA_TMP,2026-01-07T16:00:00,2026-01-07T16:30:00,2026-01-07T16:20:30,2026-01-07T16:30:00,20.5,31.7,ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run1_20260804_125255.csv
GT-0007,ST01_FILLING_FLW,SPIKE,COVERED,threshold,ST01_FILLING_FLW,2026-01-08T06:30:00,2026-01-08T06:32:00,2026-01-08T06:30:00,2026-01-08T06:31:00,0.0,50.0,ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run1_20260804_125255.csv
GT-0008,ST02_SEALING_CUR,DRIFT,COVERED,threshold,ST02_SEALING_CUR,2026-01-08T08:00:00,2026-01-08T10:00:00,2026-01-08T09:18:30,2026-01-08T10:00:00,78.5,34.6,ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run1_20260804_125255.csv
GT-0009,ST04_PACKAGING_SPD,CORRELATED,GAP,,,2026-01-08T09:30:00,2026-01-08T10:30:00,,,,,ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run1_20260804_125255.csv
GT-0010,ST03_LABELLING_CNT,OUT_OF_RANGE,COVERED,threshold,ST03_LABELLING_CNT,2026-01-09T07:30:00,2026-01-09T07:55:00,2026-01-09T07:35:00,2026-01-09T07:55:00,5.0,80.0,ext_nemotron-3-nano-30b_react_abox_ctexts_s42_run1_20260804_125255.csv
