ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,,ST01_FILLING,,,FLW MUST be maintained between 112 and 128 L/min.,,,112,128,,,L/min,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-ST01-02,,ST01_FILLING,,,"If TMP exceeds 26°C, reduce speed by 10% and notify QC.",,,26,,,,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-ST01-03,,ST01_FILLING,,,PRS drop below 3.3 bar - inspect inlet valve within 5 min.,,,3.3,,,,bar,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-ST02-01,,ST02_SEALING,,,TMP MUST remain between 175°C and 195°C.,,,175,195,,,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-ST02-02,,ST02_SEALING,,,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04.",,,210,,,,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-ST02-03,,ST02_SEALING,,,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance.,,,1.5,,,,A,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-ST02-04,,ST02_SEALING,,,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-ST03-01,,ST03_LABELLING,,,TEN MUST be between 1.8 and 2.6 N.,,,1.8,2.6,,,N,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-ST03-02,,ST03_LABELLING,,,CNT below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt.,,,110,100,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-ST03-03,,ST03_LABELLING,,,TEN STUCK >10 consecutive samples - sensor failure.,,,10,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-ST04-01,,ST04_PACKAGING,,,VIB > 0.20 mm/s (WARNING) - schedule maintenance within 24 h.,,,0.20,,,,mm/s,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-ST04-02,,ST04_PACKAGING,,,VIB > 0.35 mm/s (CRITICAL) - emergency stop; inspect bearings.,,,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-ST04-03,,ST04_PACKAGING,,,SPD drops below 1.00 m/s without operator command - verify RULE-ST02-04.,,,1.00,,,,m/s,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-SRV01-01,,SRV01_SERVERROOM,,,TMP MUST NOT exceed 25°C.,,,25,,,,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-SRV01-02,,SRV01_SERVERROOM,,,TMP > 28°C (CRITICAL) - automatic controlled shutdown of all PLC nodes.,,,28,,,,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
RULE-WRH01-01,,WRH01_WAREHOUSE,,,TMP MUST remain between 0.5°C and 8°C.,,,0.5,8,,,°C,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,cot_basic,1,llama-3_2-3b-instruct_cot_basic_run1,1,False
