event_id,timestamp,person_id,role,zone,event_type,authorized
AE-00201,2026-01-06T12:02:00,P021,technician,Production Area,ENTRY,YES
AE-00241,2026-01-06T12:03:00,P025,technician,General Warehouse,ENTRY,YES
AE-00021,2026-01-06T12:04:00,P003,operator,Production Area,ENTRY,YES
AE-00061,2026-01-06T12:04:00,P007,operator,Production Area,ENTRY,YES
AE-00101,2026-01-06T12:05:00,P011,operator,Production Area,ENTRY,YES
AE-00141,2026-01-06T12:05:00,P015,operator,General Warehouse,ENTRY,YES
AE-00161,2026-01-06T12:05:00,P017,operator,Cafeteria,ENTRY,YES
AE-00121,2026-01-06T12:06:00,P013,operator,General Warehouse,ENTRY,YES
AE-00341,2026-01-06T12:06:00,P035,supervisor,Chemical Storage,ENTRY,YES
AE-00361,2026-01-06T12:06:00,P037,supervisor,R&D Lab,ENTRY,YES
AE-00081,2026-01-06T12:07:00,P009,operator,Production Area,ENTRY,YES
AE-00401,2026-01-06T12:07:00,P041,manager,Main Entrance,ENTRY,YES
AE-00001,2026-01-06T12:09:00,P001,operator,Production Area,ENTRY,YES
AE-00421,2026-01-06T12:10:00,P043,security,Server Room,ENTRY,YES
AE-00261,2026-01-06T12:11:00,P027,technician,Server Room,ENTRY,YES
AE-00381,2026-01-06T12:11:00,P039,manager,Production Area,ENTRY,YES
AE-00281,2026-01-06T12:13:00,P029,technician,R&D Lab,ENTRY,YES
AE-00041,2026-01-06T12:14:00,P005,operator,Production Area,ENTRY,YES
AE-00321,2026-01-06T12:14:00,P033,supervisor,Main Entrance,ENTRY,YES
AE-00181,2026-01-06T12:15:00,P019,operator,Cafeteria,ENTRY,YES
AE-00221,2026-01-06T12:15:00,P023,technician,Production Area,ENTRY,YES
AE-00301,2026-01-06T12:15:00,P031,supervisor,Production Area,ENTRY,YES
AE-00441,2026-01-06T16:22:00,P005,operator,Server Room,ENTRY,NO
AE-00302,2026-01-06T19:55:00,P031,supervisor,Production Area,EXIT,YES
AE-00202,2026-01-06T19:56:00,P021,technician,Production Area,EXIT,YES
AE-00222,2026-01-06T19:56:00,P023,technician,Production Area,EXIT,YES
AE-00342,2026-01-06T19:56:00,P035,supervisor,Chemical Storage,EXIT,YES
AE-00122,2026-01-06T19:57:00,P013,operator,General Warehouse,EXIT,YES
AE-00422,2026-01-06T19:57:00,P043,security,Server Room,EXIT,YES
AE-00382,2026-01-06T19:58:00,P039,manager,Production Area,EXIT,YES
AE-00191,2026-01-06T20:00:00,P020,operator,Cafeteria,ENTRY,YES
AE-00211,2026-01-06T20:00:00,P022,technician,Production Area,ENTRY,YES
AE-00102,2026-01-06T20:01:00,P011,operator,Production Area,EXIT,YES
AE-00142,2026-01-06T20:01:00,P015,operator,General Warehouse,EXIT,YES
AE-00162,2026-01-06T20:01:00,P017,operator,Cafeteria,EXIT,YES
AE-00391,2026-01-06T20:01:00,P040,manager,Production Area,ENTRY,YES
AE-00402,2026-01-06T20:01:00,P041,manager,Main Entrance,EXIT,YES
AE-00071,2026-01-06T20:02:00,P008,operator,Production Area,ENTRY,YES
AE-00262,2026-01-06T20:02:00,P027,technician,Server Room,EXIT,YES
AE-00111,2026-01-06T20:03:00,P012,operator,Production Area,ENTRY,YES
AE-00271,2026-01-06T20:03:00,P028,technician,Server Room,ENTRY,YES
AE-00411,2026-01-06T20:03:00,P042,manager,Main Entrance,ENTRY,YES
AE-00002,2026-01-06T20:04:00,P001,operator,Production Area,EXIT,YES
AE-00251,2026-01-06T20:05:00,P026,technician,General Warehouse,ENTRY,YES
AE-00431,2026-01-06T20:05:00,P044,security,Server Room,ENTRY,YES
AE-00051,2026-01-06T20:06:00,P006,operator,Production Area,ENTRY,YES
AE-00322,2026-01-06T20:06:00,P033,supervisor,Main Entrance,EXIT,YES
AE-00351,2026-01-06T20:06:00,P036,supervisor,Chemical Storage,ENTRY,YES
AE-00362,2026-01-06T20:06:00,P037,supervisor,R&D Lab,EXIT,YES
AE-00062,2026-01-06T20:07:00,P007,operator,Production Area,EXIT,YES
AE-00282,2026-01-06T20:07:00,P029,technician,R&D Lab,EXIT,YES
AE-00291,2026-01-06T20:07:00,P030,technician,R&D Lab,ENTRY,YES
AE-00082,2026-01-06T20:08:00,P009,operator,Production Area,EXIT,YES
AE-00182,2026-01-06T20:08:00,P019,operator,Cafeteria,EXIT,YES
AE-00242,2026-01-06T20:08:00,P025,technician,General Warehouse,EXIT,YES
AE-00031,2026-01-06T20:09:00,P004,operator,Production Area,ENTRY,YES
AE-00022,2026-01-06T20:10:00,P003,operator,Production Area,EXIT,YES
AE-00042,2026-01-06T20:10:00,P005,operator,Production Area,EXIT,YES
AE-00091,2026-01-06T20:10:00,P010,operator,Production Area,ENTRY,YES
AE-00151,2026-01-06T20:10:00,P016,operator,General Warehouse,ENTRY,YES
AE-00442,2026-01-06T20:10:00,P007,operator,Chemical Storage,ENTRY,NO
AE-00231,2026-01-06T20:11:00,P024,technician,Production Area,ENTRY,YES
AE-00331,2026-01-06T20:11:00,P034,supervisor,Main Entrance,ENTRY,YES
AE-00131,2026-01-06T20:12:00,P014,operator,General Warehouse,ENTRY,YES
AE-00311,2026-01-06T20:13:00,P032,supervisor,Production Area,ENTRY,YES
AE-00011,2026-01-06T20:14:00,P002,operator,Production Area,ENTRY,YES
AE-00171,2026-01-06T20:15:00,P018,operator,Cafeteria,ENTRY,YES
AE-00371,2026-01-06T20:15:00,P038,supervisor,R&D Lab,ENTRY,YES
AE-00052,2026-01-07T03:56:00,P006,operator,Production Area,EXIT,YES
AE-00192,2026-01-07T03:56:00,P020,operator,Cafeteria,EXIT,YES
AE-00112,2026-01-07T03:57:00,P012,operator,Production Area,EXIT,YES
AE-00432,2026-01-07T03:57:00,P044,security,Server Room,EXIT,YES
AE-00232,2026-01-07T03:58:00,P024,technician,Production Area,EXIT,YES
AE-00252,2026-01-07T03:58:00,P026,technician,General Warehouse,EXIT,YES
AE-00012,2026-01-07T04:00:00,P002,operator,Production Area,EXIT,YES
AE-00072,2026-01-07T04:00:00,P008,operator,Production Area,EXIT,YES
AE-00172,2026-01-07T04:00:00,P018,operator,Cafeteria,EXIT,YES
AE-00092,2026-01-07T04:01:00,P010,operator,Production Area,EXIT,YES
AE-00352,2026-01-07T04:01:00,P036,supervisor,Chemical Storage,EXIT,YES
AE-00212,2026-01-07T04:02:00,P022,technician,Production Area,EXIT,YES
AE-00272,2026-01-07T04:03:00,P028,technician,Server Room,EXIT,YES
AE-00372,2026-01-07T04:03:00,P038,supervisor,R&D Lab,EXIT,YES
AE-00292,2026-01-07T04:04:00,P030,technician,R&D Lab,EXIT,YES
AE-00152,2026-01-07T04:05:00,P016,operator,General Warehouse,EXIT,YES
AE-00132,2026-01-07T04:06:00,P014,operator,General Warehouse,EXIT,YES
AE-00312,2026-01-07T04:06:00,P032,supervisor,Production Area,EXIT,YES
AE-00032,2026-01-07T04:08:00,P004,operator,Production Area,EXIT,YES
AE-00392,2026-01-07T04:08:00,P040,manager,Production Area,EXIT,YES
AE-00412,2026-01-07T04:08:00,P042,manager,Main Entrance,EXIT,YES
AE-00332,2026-01-07T04:09:00,P034,supervisor,Main Entrance,EXIT,YES
AE-00283,2026-01-07T12:00:00,P029,technician,R&D Lab,ENTRY,YES
AE-00343,2026-01-07T12:00:00,P035,supervisor,Chemical Storage,ENTRY,YES
AE-00363,2026-01-07T12:01:00,P037,supervisor,R&D Lab,ENTRY,YES
AE-00043,2026-01-07T12:03:00,P005,operator,Production Area,ENTRY,YES
AE-00223,2026-01-07T12:03:00,P023,technician,Production Area,ENTRY,YES
AE-00303,2026-01-07T12:03:00,P031,supervisor,Production Area,ENTRY,YES
AE-00023,2026-01-07T12:04:00,P003,operator,Production Area,ENTRY,YES
AE-00063,2026-01-07T12:06:00,P007,operator,Production Area,ENTRY,YES
AE-00423,2026-01-07T12:07:00,P043,security,Server Room,ENTRY,YES
AE-00103,2026-01-07T12:08:00,P011,operator,Production Area,ENTRY,YES
AE-00403,2026-01-07T12:08:00,P041,manager,Main Entrance,ENTRY,YES
AE-00003,2026-01-07T12:10:00,P001,operator,Production Area,ENTRY,YES
AE-00143,2026-01-07T12:10:00,P015,operator,General Warehouse,ENTRY,YES
AE-00083,2026-01-07T12:12:00,P009,operator,Production Area,ENTRY,YES
AE-00123,2026-01-07T12:12:00,P013,operator,General Warehouse,ENTRY,YES
AE-00163,2026-01-07T12:12:00,P017,operator,Cafeteria,ENTRY,YES
AE-00263,2026-01-07T12:12:00,P027,technician,Server Room,ENTRY,YES
AE-00183,2026-01-07T12:13:00,P019,operator,Cafeteria,ENTRY,YES
AE-00203,2026-01-07T12:13:00,P021,technician,Production Area,ENTRY,YES
AE-00243,2026-01-07T12:13:00,P025,technician,General Warehouse,ENTRY,YES
AE-00323,2026-01-07T12:13:00,P033,supervisor,Main Entrance,ENTRY,YES
AE-00383,2026-01-07T12:14:00,P039,manager,Production Area,ENTRY,YES
AE-00444,2026-01-07T14:33:00,P001,operator,R&D Lab,ENTRY,NO
AE-00304,2026-01-07T19:55:00,P031,supervisor,Production Area,EXIT,YES
AE-00324,2026-01-07T19:55:00,P033,supervisor,Main Entrance,EXIT,YES
AE-00104,2026-01-07T19:56:00,P011,operator,Production Area,EXIT,YES
AE-00264,2026-01-07T19:56:00,P027,technician,Server Room,EXIT,YES
AE-00424,2026-01-07T19:56:00,P043,security,Server Room,EXIT,YES
AE-00164,2026-01-07T19:58:00,P017,operator,Cafeteria,EXIT,YES
AE-00024,2026-01-07T19:59:00,P003,operator,Production Area,EXIT,YES
AE-00124,2026-01-07T19:59:00,P013,operator,General Warehouse,EXIT,YES
AE-00184,2026-01-07T19:59:00,P019,operator,Cafeteria,EXIT,YES
AE-00204,2026-01-07T19:59:00,P021,technician,Production Area,EXIT,YES
AE-00404,2026-01-07T19:59:00,P041,manager,Main Entrance,EXIT,YES
AE-00153,2026-01-07T20:00:00,P016,operator,General Warehouse,ENTRY,YES
AE-00244,2026-01-07T20:00:00,P025,technician,General Warehouse,EXIT,YES
AE-00053,2026-01-07T20:01:00,P006,operator,Production Area,ENTRY,YES
AE-00173,2026-01-07T20:01:00,P018,operator,Cafeteria,ENTRY,YES
AE-00293,2026-01-07T20:01:00,P030,technician,R&D Lab,ENTRY,YES
AE-00373,2026-01-07T20:01:00,P038,supervisor,R&D Lab,ENTRY,YES
AE-00004,2026-01-07T20:02:00,P001,operator,Production Area,EXIT,YES
AE-00393,2026-01-07T20:02:00,P040,manager,Production Area,ENTRY,YES
AE-00133,2026-01-07T20:03:00,P014,operator,General Warehouse,ENTRY,YES
AE-00273,2026-01-07T20:03:00,P028,technician,Server Room,ENTRY,YES
AE-00084,2026-01-07T20:04:00,P009,operator,Production Area,EXIT,YES
AE-00113,2026-01-07T20:04:00,P012,operator,Production Area,ENTRY,YES
AE-00144,2026-01-07T20:04:00,P015,operator,General Warehouse,EXIT,YES
AE-00344,2026-01-07T20:04:00,P035,supervisor,Chemical Storage,EXIT,YES
AE-00033,2026-01-07T20:05:00,P004,operator,Production Area,ENTRY,YES
AE-00224,2026-01-07T20:05:00,P023,technician,Production Area,EXIT,YES
AE-00233,2026-01-07T20:05:00,P024,technician,Production Area,ENTRY,YES
AE-00333,2026-01-07T20:05:00,P034,supervisor,Main Entrance,ENTRY,YES
AE-00073,2026-01-07T20:06:00,P008,operator,Production Area,ENTRY,YES
AE-00364,2026-01-07T20:06:00,P037,supervisor,R&D Lab,EXIT,YES
AE-00093,2026-01-07T20:07:00,P010,operator,Production Area,ENTRY,YES
AE-00384,2026-01-07T20:07:00,P039,manager,Production Area,EXIT,YES
AE-00313,2026-01-07T20:08:00,P032,supervisor,Production Area,ENTRY,YES
AE-00044,2026-01-07T20:09:00,P005,operator,Production Area,EXIT,YES
AE-00064,2026-01-07T20:09:00,P007,operator,Production Area,EXIT,YES
AE-00353,2026-01-07T20:09:00,P036,supervisor,Chemical Storage,ENTRY,YES
AE-00284,2026-01-07T20:10:00,P029,technician,R&D Lab,EXIT,YES
AE-00413,2026-01-07T20:10:00,P042,manager,Main Entrance,ENTRY,YES
AE-00253,2026-01-07T20:11:00,P026,technician,General Warehouse,ENTRY,YES
AE-00213,2026-01-07T20:14:00,P022,technician,Production Area,ENTRY,YES
AE-00013,2026-01-07T20:15:00,P002,operator,Production Area,ENTRY,YES
AE-00193,2026-01-07T20:15:00,P020,operator,Cafeteria,ENTRY,YES
AE-00433,2026-01-07T20:15:00,P044,security,Server Room,ENTRY,YES
AE-00443,2026-01-08T01:45:00,UNKNOWN,visitor,General Warehouse,ENTRY,NO
AE-00054,2026-01-08T03:55:00,P006,operator,Production Area,EXIT,YES
AE-00214,2026-01-08T03:55:00,P022,technician,Production Area,EXIT,YES
AE-00394,2026-01-08T03:55:00,P040,manager,Production Area,EXIT,YES
AE-00074,2026-01-08T03:56:00,P008,operator,Production Area,EXIT,YES
AE-00274,2026-01-08T03:56:00,P028,technician,Server Room,EXIT,YES
AE-00414,2026-01-08T03:56:00,P042,manager,Main Entrance,EXIT,YES
