ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,description,priority,sensorDescription
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,Flow,Flow rate outside acceptable range,Monitor flow rate and adjust valve position if necessary.,INFO,128.0,,112.0,,L/min,SOP_001_OperatingProcedures.txt,gemma3:12b,reflexion_guided,2,gemma3-12b_reflexion_guided_s42_run1,3,False,Maintains flow within specified limits for optimal filling.,,
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,Temperature exceeds 26°C,Reduce filling speed by 10% and notify QC for investigation.,WARNING,26.0,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,reflexion_guided,2,gemma3-12b_reflexion_guided_s42_run1,3,False,Prevents overheating during the filling process.,,
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,Pressure drops below 3.3 bar,Inspect inlet valve for blockage or leaks within 5 minutes.,WARNING,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma3:12b,reflexion_guided,2,gemma3-12b_reflexion_guided_s42_run1,3,False,Ensures adequate pressure for proper filling.,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,Temperature outside acceptable range,Monitor temperature and adjust heater settings if necessary.,INFO,195.0,,175.0,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,reflexion_guided,2,gemma3-12b_reflexion_guided_s42_run1,3,False,Maintains temperature within specified limits for optimal sealing.,,
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,Temperature exceeds 210°C,"Emergency stop ST02, ST03, and ST04 to prevent damage.",CRITICAL,210.0,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,reflexion_guided,2,gemma3-12b_reflexion_guided_s42_run1,3,False,Critical temperature threshold requiring immediate shutdown.,,
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,Current exceeds nominal by 1.5 A for more than 5 minutes,Schedule maintenance to investigate potential motor issues.,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,gemma3:12b,reflexion_guided,2,gemma3-12b_reflexion_guided_s42_run1,3,False,Detects potential motor overload.,,
RULE-ST02-04,CorrelationRule,ST02_SEALING,ST02_SEALING_CUR,Current,Current drift at ST02_SEALING correlates with speed reduction at ST04_PACKAGING.,Monitor ST04_PACKAGING_SPD for speed deviations when ST02_SEALING_CUR triggers a WARNING.,WARNING,,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,reflexion_guided,2,gemma3-12b_reflexion_guided_s42_run1,3,False,Monitors for electrical coupling issues between stations.,,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,Tension outside acceptable range,Adjust tension rollers to maintain proper label application.,INFO,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,gemma3:12b,reflexion_guided,2,gemma3-12b_reflexion_guided_s42_run1,3,False,Maintains proper tension for accurate label placement.,,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,Count,Count below 110 pcs/min - check for label jam. Count below 100 (CRITICAL): halt.,Halt the line if count falls below 100 pcs/min.,CRITICAL,,,100.0,100.0,pcs/min,SOP_001_OperatingProcedures.txt,gemma3:12b,reflexion_guided,2,gemma3-12b_reflexion_guided_s42_run1,3,False,Detects and responds to label jams.,,
RULE-ST03-03,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,Tension stuck for 10 consecutive samples,Indicate sensor failure and trigger maintenance.,WARNING,10.0,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,reflexion_guided,2,gemma3-12b_reflexion_guided_s42_run1,3,False,Detects faulty tension sensors.,,
