ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,warnHigh
RULE-ST01-01,OperationalRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW MUST be maintained between 112 L/min and 128 L/min,Adjust the flow rate to keep it within the specified range,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run2,1,False,
RULE-ST01-02,OperationalRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP exceeds 26°C,Reduce speed by 10% and notify QC,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run2,1,False,
RULE-ST01-03,OperationalRule,ST01_FILLING,ST01_FILLING_PRSC,PRSC,PRSC drop below 3.3 bar,Inspect inlet valve within 5 min,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run2,1,False,
RULE-ST02-01,OperationalRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP MUST remain between 175°C and 195°C,Maintain temperature to stay within the specified range,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run2,1,False,
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,CUR,"CUR > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04","Emergency stop ST02, ST03, ST04",CRITICAL,210.0,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run2,1,False,
RULE-ST02-03,OperationalRule,ST02_SEALING,ST02_SEALING_CUR_DRIFT,CUR_DRIFT,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor whenever CUR triggers a WARNING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run2,1,False,
RULE-ST02-04,OperationalRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run2,1,False,
RULE-ST03-01,OperationalRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN MUST be between 1.8 N and 2.6 N,Adjust labelling parameters to keep force within the specified range,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run2,1,False,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt,"Check for label jam; if below 100 pcs/min, halt the line",CRITICAL,,110.0,,100.0,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run2,1,False,
RULE-ST03-03,OperationalRule,ST03_LABELLING,ST03_LABELLING_TEN_STUCK,TEN_STUCK,TEN STUCK >10 consecutive samples - sensor failure,Investigate sensor failure,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run2,1,False,
