run_id,base_exp_id,model,paradigm,run_n,level,reasoning_native,total_rules,sop_files,errors,duration_sec,avg_rule_sec,avg_llm_turns,temperature,prompt_tokens,completion_tokens,total_tokens,tokens_per_rule
llama-3_2-3b-instruct_naive_run1,llama-3_2-3b-instruct_naive,llama-3.2-3b-instruct,naive,1,0,False,28,4,0,36.37,1.2989,1.0,0,2901,2845,5746,205.2
llama-3_2-3b-instruct_few_shot_static_run1,llama-3_2-3b-instruct_few_shot_static,llama-3.2-3b-instruct,few_shot_static,1,0,False,28,4,0,30.69,1.0959,1.0,0,3913,2369,6282,224.4
llama-3_2-3b-instruct_graph_informed_run1,llama-3_2-3b-instruct_graph_informed,llama-3.2-3b-instruct,graph_informed,1,0,False,31,4,0,41.37,1.3344,1.0,0,3377,3307,6684,215.6
llama-3_2-3b-instruct_cot_basic_run1,llama-3_2-3b-instruct_cot_basic,llama-3.2-3b-instruct,cot_basic,1,1,False,28,4,0,37.43,1.3368,1.0,0,2953,2987,5940,212.1
llama-3_2-3b-instruct_cot_structured_run1,llama-3_2-3b-instruct_cot_structured,llama-3.2-3b-instruct,cot_structured,1,1,False,30,4,0,37.67,1.2556,1.0,0,3213,2984,6197,206.6
llama-3_2-3b-instruct_pre_act_run1,llama-3_2-3b-instruct_pre_act,llama-3.2-3b-instruct,pre_act,1,1,False,24,4,0,43.8,1.8252,1.0,0,3049,3524,6573,273.9
llama-3_2-3b-instruct_self_consistency_run1,llama-3_2-3b-instruct_self_consistency,llama-3.2-3b-instruct,self_consistency,1,2,False,22,4,0,109.33,4.9697,3.0,0.3,8703,9370,18073,821.5
llama-3_2-3b-instruct_reflexion_run1,llama-3_2-3b-instruct_reflexion,llama-3.2-3b-instruct,reflexion,1,2,False,26,4,0,93.78,3.6068,2.0,0,13848,7223,21071,810.4
llama-3_2-3b-instruct_reflexion_guided_run1,llama-3_2-3b-instruct_reflexion_guided,llama-3.2-3b-instruct,reflexion_guided,1,2,False,35,4,0,141.15,4.033,3.0,0,21874,11112,32986,942.5
llama-3_2-3b-instruct_react_abox_run1,llama-3_2-3b-instruct_react_abox,llama-3.2-3b-instruct,react_abox,1,3,False,34,4,0,47.02,1.3829,1.0,0,3573,3781,7354,216.3
llama-3_2-3b-instruct_naive_run1,llama-3_2-3b-instruct_naive,llama-3.2-3b-instruct,naive,1,0,False,28,4,0,29.69,1.0602,1.0,0,2901,2847,5748,205.3
llama-3_2-3b-instruct_few_shot_static_run1,llama-3_2-3b-instruct_few_shot_static,llama-3.2-3b-instruct,few_shot_static,1,0,False,28,4,0,25.31,0.904,1.0,0,3913,2368,6281,224.3
llama-3_2-3b-instruct_graph_informed_run1,llama-3_2-3b-instruct_graph_informed,llama-3.2-3b-instruct,graph_informed,1,0,False,31,4,0,34.41,1.1099,1.0,0,3377,3307,6684,215.6
llama-3_2-3b-instruct_cot_basic_run1,llama-3_2-3b-instruct_cot_basic,llama-3.2-3b-instruct,cot_basic,1,1,False,27,4,0,30.01,1.1115,1.0,0,2953,2872,5825,215.7
llama-3_2-3b-instruct_cot_structured_run1,llama-3_2-3b-instruct_cot_structured,llama-3.2-3b-instruct,cot_structured,1,1,False,30,4,0,31.31,1.0435,1.0,0,3213,2984,6197,206.6
llama-3_2-3b-instruct_pre_act_run1,llama-3_2-3b-instruct_pre_act,llama-3.2-3b-instruct,pre_act,1,1,False,23,4,0,36.4,1.5828,1.0,0,3049,3565,6614,287.6
llama-3_2-3b-instruct_self_consistency_run1,llama-3_2-3b-instruct_self_consistency,llama-3.2-3b-instruct,self_consistency,1,2,False,25,4,0,86.05,3.4418,3.0,0.3,8703,9077,17780,711.2
llama-3_2-3b-instruct_reflexion_run1,llama-3_2-3b-instruct_reflexion,llama-3.2-3b-instruct,reflexion,1,2,False,28,4,0,77.28,2.7601,2.0,0,13860,7230,21090,753.2
llama-3_2-3b-instruct_reflexion_guided_run1,llama-3_2-3b-instruct_reflexion_guided,llama-3.2-3b-instruct,reflexion_guided,1,2,False,35,4,0,115.75,3.307,3.0,0,21882,11120,33002,942.9
llama-3_2-3b-instruct_react_abox_run1,llama-3_2-3b-instruct_react_abox,llama-3.2-3b-instruct,react_abox,1,3,False,34,4,0,38.69,1.1379,1.0,0,3573,3781,7354,216.3
llama3_2-3b_naive_run1,llama3_2-3b_naive,llama3.2:3b,naive,1,0,False,0,4,4,187.56,0.0,0.0,0,0,0,0,0.0
llama3_2-3b_few_shot_static_run1,llama3_2-3b_few_shot_static,llama3.2:3b,few_shot_static,1,0,False,0,4,4,185.09,0.0,0.0,0,0,0,0,0.0
llama3_2-3b_graph_informed_run1,llama3_2-3b_graph_informed,llama3.2:3b,graph_informed,1,0,False,0,4,4,243.94,0.0,0.0,0,0,0,0,0.0
ministral-3-3b_naive_run1,ministral-3-3b_naive,ministral-3:3b,naive,1,0,False,85,4,0,41.55,0.4888,1.0,0,5214,10786,16000,188.2
ministral-3-3b_few_shot_static_run1,ministral-3-3b_few_shot_static,ministral-3:3b,few_shot_static,1,0,False,74,4,0,43.72,0.5908,1.0,0,6418,10193,16611,224.5
ministral-3-3b_graph_informed_run1,ministral-3-3b_graph_informed,ministral-3:3b,graph_informed,1,0,False,79,4,0,45.05,0.5703,1.0,0,5754,10189,15943,201.8
ministral-3-3b_cot_basic_run1,ministral-3-3b_cot_basic,ministral-3:3b,cot_basic,1,1,False,83,4,0,48.38,0.5829,1.0,0,5266,11163,16429,197.9
ministral-3-3b_cot_structured_run1,ministral-3-3b_cot_structured,ministral-3:3b,cot_structured,1,1,False,89,4,0,47.36,0.5321,1.0,0,5534,11543,17077,191.9
ministral-3-3b_pre_act_run1,ministral-3-3b_pre_act,ministral-3:3b,pre_act,1,1,False,83,4,0,55.5,0.6686,1.0,0,5362,12045,17407,209.7
ministral-3-3b_self_consistency_run1,ministral-3-3b_self_consistency,ministral-3:3b,self_consistency,1,2,False,71,4,0,122.59,1.7266,3.0,0.3,15642,29873,45515,641.1
ministral-3-3b_reflexion_run1,ministral-3-3b_reflexion,ministral-3:3b,reflexion,1,2,False,76,4,0,102.69,1.3512,2.0,0,31766,23960,55726,733.2
ministral-3-3b_reflexion_guided_run1,ministral-3-3b_reflexion_guided,ministral-3:3b,reflexion_guided,1,2,False,105,4,0,150.69,1.4351,3.0,0,50170,36507,86677,825.5
ministral-3-3b_react_abox_run1,ministral-3-3b_react_abox,ministral-3:3b,react_abox,1,3,False,54,4,0,31.17,0.5772,1.0,0,5974,7259,13233,245.1
qwen-qwen-2_5-7b-instruct_naive_run1,qwen-qwen-2_5-7b-instruct_naive,qwen/qwen-2.5-7b-instruct,naive,1,0,False,60,4,0,117.02,1.9504,1.0,0,4886,6436,11322,188.7
