predictions_from,scored_against_gt,runs,f1_mean,f1_max
external_test_biogas,dev_production_line,5,0.193,0.211
external_test_biogas,external_test_sulfuric_acid,5,0.171,0.184
dev_production_line,external_test_sulfuric_acid,5,0.111,0.129
external_test_sulfuric_acid,external_test_biogas,5,0.092,0.126
external_test_sulfuric_acid,dev_production_line,5,0.062,0.089
external_test_desalination,external_test_biogas,5,0.081,0.081
external_test_biogas,external_test_desalination,5,0.052,0.074
dev_production_line,external_test_biogas,5,0.058,0.067
external_test_sulfuric_acid,external_test_desalination,5,0.021,0.027
external_test_desalination,external_test_sulfuric_acid,5,0.004,0.021
dev_production_line,external_test_desalination,5,0.0,0.0
external_test_desalination,dev_production_line,5,0.0,0.0
