gtId,sensor,type,status,detector,matchedRules,gtStart,gtEnd,detStart,detEnd,latencyMin,coveragePct
GT-0001,ST02_SEALING_TMP,SPIKE,COVERED,threshold,RULE-ST02-01,2026-01-06T08:30:00,2026-01-06T08:33:00,2026-01-06T08:30:00,2026-01-06T08:32:00,0.0,66.7
GT-0002,ST01_FILLING_PRS,DRIFT,COVERED,threshold,RULE-THR-ST01_FILLING-PRS-CRIT,2026-01-06T11:00:00,2026-01-06T11:45:00,2026-01-06T11:39:00,2026-01-06T11:45:00,39.0,13.3
GT-0003,ST04_PACKAGING_VIB,DRIFT,COVERED,drift|threshold,MAINT-01|RULE-ST04-01,2026-01-07T07:00:00,2026-01-07T08:30:00,2026-01-07T07:40:00,2026-01-07T09:06:00,40.0,55.6
GT-0004,ST03_LABELLING_TEN,STUCK,COVERED,stuck,MAINT-03,2026-01-07T09:30:00,2026-01-07T09:42:00,2026-01-07T09:35:00,2026-01-07T09:42:00,5.0,58.3
GT-0005,SRV01_SERVERROOM_TMP,OUT_OF_RANGE,COVERED,threshold,RULE-SRV01-01,2026-01-07T12:00:00,2026-01-07T12:20:00,2026-01-07T12:00:00,2026-01-07T12:20:00,0.0,100.0
GT-0006,CAF01_CAFETERIA_TMP,OUT_OF_RANGE,COVERED,threshold,RULE-CAF01-01,2026-01-07T16:00:00,2026-01-07T16:30:00,2026-01-07T16:00:30,2026-01-07T16:30:00,0.5,98.3
GT-0007,ST01_FILLING_FLW,SPIKE,COVERED,threshold,RULE-ST01-01,2026-01-08T06:30:00,2026-01-08T06:32:00,2026-01-08T06:30:00,2026-01-08T06:31:30,0.0,75.0
GT-0008,ST02_SEALING_CUR,DRIFT,COVERED,threshold,RULE-THR-ST02_SEALING-CUR-CRIT,2026-01-08T08:00:00,2026-01-08T10:00:00,2026-01-08T09:18:30,2026-01-08T10:00:00,78.5,34.6
GT-0009,ST04_PACKAGING_SPD,CORRELATED,GAP,,,2026-01-08T09:30:00,2026-01-08T10:30:00,,,,
GT-0010,ST03_LABELLING_CNT,OUT_OF_RANGE,COVERED,threshold,RULE-THR-ST03_LABELLING-CNT-CRIT,2026-01-09T07:30:00,2026-01-09T07:55:00,2026-01-09T07:35:00,2026-01-09T07:55:00,5.0,80.0
GT-0011,CHM01_CHEMICALSTORAGE_TMP,OUT_OF_RANGE,COVERED,threshold,RULE-CHM01-01,2026-01-09T08:00:00,2026-01-09T08:45:00,2026-01-09T08:00:00,2026-01-09T08:45:00,0.0,100.0
GT-0012,WRH01_WAREHOUSE_TMP,DRIFT,COVERED,drift|threshold,MAINT-06|RULE-WRH01-01,2026-01-09T10:00:00,2026-01-09T13:00:00,2026-01-09T11:48:00,2026-01-09T13:54:30,108.0,40.0
GT-0013,RND01_RDLAB_HUM,DRIFT,COVERED,drift,MAINT-08,2026-01-09T11:30:00,2026-01-09T13:00:00,2026-01-09T12:51:30,2026-01-09T13:14:00,81.5,9.4
GT-0014,ST04_PACKAGING_VIB,SPIKE,COVERED,threshold,RULE-ST04-01,2026-01-09T13:00:00,2026-01-09T13:01:00,2026-01-09T13:00:00,2026-01-09T13:00:30,0.0,50.0
