ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,,ST01_FILLING,,,FLW MUST be maintained between 112 and 128 L/min.,,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
RULE-ST01-02,,ST01_FILLING,,,"If TMP exceeds 26°C, reduce speed by 10% and notify QC.",,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
RULE-ST01-03,,ST01_FILLING,,,PRS drop below 3.3 bar - inspect inlet valve within 5 min.,,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
RULE-ST02-01,,ST02_SEALING,,,TMP MUST remain between 175°C and 195°C.,,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
RULE-ST02-02,,ST02_SEALING,,,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04.",,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
RULE-ST02-03,,ST02_SEALING,,,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance.,,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
RULE-ST02-04,,ST02_SEALING,,,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
RULE-ST03-01,,ST03_LABELLING,,,TEN MUST be between 1.8 and 2.6 N.,,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
ST01_FILLING Thresholds,,ST01 FILLING,TMP,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
ST01_FILLING Thresholds,,ST01 FILLING,PRS,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,,4.8,3.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
ST01_FILLING Thresholds,,ST01 FILLING,FLW,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
ST02_SEALING Thresholds,,ST02 SEALING,TMP,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP ST02/ST03/ST04; inspect element,,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
ST02_SEALING Thresholds,,ST02 SEALING,PRS,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
ST02_SEALING Thresholds,,ST02 SEALING,CUR,,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
MAINT-01,,ST04_PACKAGING,VIB,,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing HIGH,HIGH,0.05,0.05,,,mm/s,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
MAINT-02,,ST02_SEALING,CUR,,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,1.0,1.0,,,A,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
MAINT-03,,ST03_LABELLING,TEN,,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
MAINT-04,,ST01_FILLING,PRS,,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
MAINT-05,,SRV01_SERVERROOM,TMP,,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,25,25,,,°C,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
MAINT-06,,WRH01_WAREHOUSE,TMP,,TMP DRIFT >2°C over 2 h,Inspect compressor; notify,QCRITICAL,2,2,,,°C,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
MAINT-07,,CHM01_CHEMICALSTORAGE,TMP,,TMP >20°C for >10 min,Emergency ventilation; notify CRITICAL,CRITICAL,20,20,,,°C,SOP_003_MaintenanceRules.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
RULE-ACCESS-01,Unauthorised Access Rule,,,,Any entry by an unauthorised role,"Must be logged as OccupancyEvent::UnauthorisedAccess with person_id, zone, and timestamp.",,,,,,,SOP_004_PersonnelZoneAccess.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
RULE-ACCESS-02,Unauthorised Access Rule,,,,Security personnel MUST be notified within 2 minutes of detection.,Must notify security personnel within 2 minutes.,,,,,,,SOP_004_PersonnelZoneAccess.txt,llama-3.2-3b-instruct,pre_act,1,llama-3_2-3b-instruct_pre_act_run1,1,False
