ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,detection
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,exceeds,reduce speed by 10% and notify QC,,26,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drop below,inspect inlet valve within 5 min,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,>,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,below,check for label jam. Below 100 (CRITICAL): halt,,,110,100,,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,Tension,STUCK >10 consecutive samples,sensor failure,,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,>,schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,>,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,Speed,drops below,verify RULE-ST02-04,,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,>,automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,>,inspect door seals and activate dehumidifier,,,85,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,>,check ventilation system,,26,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,,,,,,A,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,>,activate dehumidifier; above 75%RH (CRITICAL) - suspend sensitive experiments and inspect HVAC system,,75,65,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,MUST NOT exceed,activate desiccant system if HUM >45%RH,,50,45,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,remain between,notify QC and quarantine batch if CRITICAL above 12°C,,12,8,0.5,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,remain between,activate emergency ventilation and notify safety officer immediately if CRITICAL above 25°C,,25,20,10,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,>,inspect drainage and activate ventilation,,70,,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,MUST NOT exceed,,,25,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,remain between,N/A,,195,,175,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,between,N/A,,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,ministral-3:8b,self_consistency,2,ministral-3-8b_self_consistency_s42_run1,3,False,
