ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,FlowRate,MUST be maintained between 112 and 128 L/min,,,128,,,112,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,"If TMP exceeds 26°C, reduce speed by 10% and notify QC",,,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,PRS drop below 3.3 bar - inspect inlet valve within 5 min,,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,TMP MUST remain between 175°C and 195°C,,,195,,175,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04",,CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance,,,,1.5,,,A,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
RULE-ST02-04,NonThresholdRule,ST02_SEALING,CUR,Current,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,A,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
ST01_FILLING-TMP,,ST01_FILLING,TMP,,CRIT_HI,Inspect and notify maintenance,,30,,,15,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
ST01_FILLING-PRS,,ST01_FILLING,PRS,,CRIT_HI,Inspect and notify maintenance,,4.8,,,3,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
ST01_FILLING-FLW,,ST01_FILLING,FLW,,CRIT_HI,Inspect and notify maintenance,,135,,,105,L/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
ST02_SEALING-TMP,,ST02_SEALING,TMP,,CRIT_HI,E-STOP ST02/ST03/ST04; inspect element,,210,,,165,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
ST02_SEALING-PRS,,ST02_SEALING,PRS,,CRIT_HI,Inspect and notify maintenance,,6.2,,,4.2,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
ST02_SEALING-CUR,,ST02_SEALING,CUR,,CRIT_HI,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),,15,,,9.5,A,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
MAINT-01,PredictiveMaintenanceRule,ST04_PACKAGING,VIB,,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing HIGH,HIGH,0.05,,,,mm/s,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
MAINT-02,PredictiveMaintenanceRule,ST02_SEALING,CUR,,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,1.0,,,,A,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
MAINT-03,PredictiveMaintenanceRule,ST03_LABELLING,TEN,,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
MAINT-04,PredictiveMaintenanceRule,ST01_FILLING,PRS,,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,3.3,,bar,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
MAINT-05,PredictiveMaintenanceRule,SRV01_SERVERROOM,TMP,,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,25,,,,°C,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
