nodeId,label,name,type,zone
N0001,System,Production Line A,LineaA,-
N0002,Zone,Production Area,-,Production Area
N0003,Zone,Server Room,-,Server Room
N0004,Zone,General Warehouse,-,General Warehouse
N0005,Zone,Main Entrance,-,Main Entrance
N0006,Zone,Chemical Storage,-,Chemical Storage
N0007,Zone,R&D Lab,-,R&D Lab
N0008,Zone,Cafeteria,-,Cafeteria
N0009,Component,ST01_FILLING,FILLING,Production Area
N0010,Sensor,ST01_FILLING_TMP,TMP,Production Area
N0011,Sensor,ST01_FILLING_PRS,PRS,Production Area
N0012,Sensor,ST01_FILLING_FLW,FLW,Production Area
N0013,Component,ST02_SEALING,SEALING,Production Area
N0014,Sensor,ST02_SEALING_TMP,TMP,Production Area
N0015,Sensor,ST02_SEALING_PRS,PRS,Production Area
N0016,Sensor,ST02_SEALING_CUR,CUR,Production Area
N0017,Component,ST03_LABELLING,LABELLING,Production Area
N0018,Sensor,ST03_LABELLING_SPD,SPD,Production Area
N0019,Sensor,ST03_LABELLING_TEN,TEN,Production Area
N0020,Sensor,ST03_LABELLING_CNT,CNT,Production Area
N0021,Component,ST04_PACKAGING,PACKAGING,Production Area
N0022,Sensor,ST04_PACKAGING_VIB,VIB,Production Area
N0023,Sensor,ST04_PACKAGING_CUR,CUR,Production Area
N0024,Sensor,ST04_PACKAGING_SPD,SPD,Production Area
N0025,Component,SRV01_SERVERROOM,SERVERROOM,Server Room
N0026,Sensor,SRV01_SERVERROOM_TMP,TMP,Server Room
N0027,Sensor,SRV01_SERVERROOM_HUM,HUM,Server Room
N0028,Component,WRH01_WAREHOUSE,WAREHOUSE,General Warehouse
N0029,Sensor,WRH01_WAREHOUSE_TMP,TMP,General Warehouse
N0030,Sensor,WRH01_WAREHOUSE_HUM,HUM,General Warehouse
N0031,Component,CHM01_CHEMICALSTORAGE,CHEMICALSTORAGE,Chemical Storage
N0032,Sensor,CHM01_CHEMICALSTORAGE_TMP,TMP,Chemical Storage
N0033,Sensor,CHM01_CHEMICALSTORAGE_HUM,HUM,Chemical Storage
N0034,Component,RND01_RDLAB,RDLAB,R&D Lab
N0035,Sensor,RND01_RDLAB_TMP,TMP,R&D Lab
N0036,Sensor,RND01_RDLAB_HUM,HUM,R&D Lab
N0037,Component,CAF01_CAFETERIA,CAFETERIA,Cafeteria
N0038,Sensor,CAF01_CAFETERIA_TMP,TMP,Cafeteria
N0039,Sensor,CAF01_CAFETERIA_HUM,HUM,Cafeteria
N0040,Role,operator,-,-
N0041,Role,technician,-,-
N0042,Role,supervisor,-,-
N0043,Role,manager,-,-
N0044,Role,security,-,-
N0045,Role,visitor,-,-
