corpus,run,pred_id,cited_lines,values_asserted,values_quoted_from_cited_lines,values_present_in_source_document,all_values_grounded,all_values_in_document,numbers_asserted,numbers_found_on_cited_lines,fully_grounded,has_no_numbers,token_coverage_of_cited_lines,record_numbers,cited_line_numbers,ungrounded_values,values_absent_from_document
dev_production_line,run1,SOP001OPERAT-003,1,4,4,4,True,True,4,4,True,False,1.0,2 1 3 4,2 1 3 4,,
dev_production_line,run1,SOP001OPERAT-005,1,4,4,4,True,True,2,2,True,False,1.0,4 3,4 3,,
dev_production_line,run1,SOP002ALARMT-001,1,1,1,1,True,True,0,0,False,True,1.0,,,,
dev_production_line,run1,SOP004PERSON-001,1,3,2,3,False,True,0,0,False,True,0.5,,,Prod. Area,
dev_production_line,run1,SOP004PERSON-002,1,3,2,3,False,True,0,0,False,True,0.5,,,Server Room,
dev_production_line,run1,SOP004PERSON-003,1,3,2,3,False,True,0,0,False,True,0.4,,,Gen. Warehous e,
dev_production_line,run1,SOP004PERSON-004,1,3,2,3,False,True,0,0,False,True,0.4,,,Main Entranc e,
dev_production_line,run1,SOP004PERSON-005,1,3,2,3,False,True,0,0,False,True,0.4,,,Chem. Stora ge,
dev_production_line,run1,SOP004PERSON-006,1,3,2,3,False,True,0,0,False,True,0.4,,,R&D; Lab,
dev_production_line,run1,SOP004PERSON-007,1,3,2,3,False,True,0,0,False,True,0.667,,,Cafeteria,
dev_production_line,run1,SOP004PERSON-008,1,3,2,3,False,True,0,0,False,True,0.5,,,Prod. Area,
dev_production_line,run1,SOP004PERSON-009,1,3,2,3,False,True,0,0,False,True,0.5,,,Server Room,
dev_production_line,run1,SOP004PERSON-010,1,3,2,3,False,True,0,0,False,True,0.4,,,Gen. Warehous e,
dev_production_line,run1,SOP004PERSON-011,1,3,2,3,False,True,0,0,False,True,0.4,,,Main Entranc e,
dev_production_line,run1,SOP004PERSON-012,1,3,2,3,False,True,0,0,False,True,0.4,,,Chem. Stora ge,
dev_production_line,run1,SOP004PERSON-013,1,3,2,3,False,True,0,0,False,True,0.4,,,R&D; Lab,
dev_production_line,run1,SOP004PERSON-014,1,3,2,3,False,True,0,0,False,True,0.667,,,Cafeteria,
dev_production_line,run1,SOP004PERSON-015,1,3,2,3,False,True,0,0,False,True,0.5,,,Prod. Area,
dev_production_line,run1,SOP004PERSON-016,1,3,2,3,False,True,0,0,False,True,0.5,,,Server Room,
dev_production_line,run1,SOP004PERSON-017,1,3,2,3,False,True,0,0,False,True,0.4,,,Gen. Warehous e,
dev_production_line,run1,SOP004PERSON-018,1,3,2,3,False,True,0,0,False,True,0.4,,,Main Entranc e,
dev_production_line,run1,SOP004PERSON-019,1,3,2,3,False,True,0,0,False,True,0.4,,,Chem. Stora ge,
dev_production_line,run1,SOP004PERSON-020,1,3,2,3,False,True,0,0,False,True,0.4,,,R&D; Lab,
dev_production_line,run1,SOP004PERSON-021,1,3,2,3,False,True,0,0,False,True,0.667,,,Cafeteria,
dev_production_line,run1,SOP004PERSON-022,1,3,2,3,False,True,0,0,False,True,0.5,,,Prod. Area,
dev_production_line,run1,SOP004PERSON-023,1,3,2,3,False,True,0,0,False,True,0.5,,,Server Room,
dev_production_line,run1,SOP004PERSON-024,1,3,2,3,False,True,0,0,False,True,0.4,,,Gen. Warehous e,
dev_production_line,run1,SOP004PERSON-025,1,3,2,3,False,True,0,0,False,True,0.4,,,Main Entranc e,
dev_production_line,run1,SOP004PERSON-026,1,3,2,3,False,True,0,0,False,True,0.4,,,Chem. Stora ge,
dev_production_line,run1,SOP004PERSON-027,1,3,2,3,False,True,0,0,False,True,0.4,,,R&D; Lab,
dev_production_line,run1,SOP004PERSON-028,1,3,2,3,False,True,0,0,False,True,0.667,,,Cafeteria,
dev_production_line,run1,SOP004PERSON-029,1,3,2,3,False,True,0,0,False,True,0.5,,,Prod. Area,
dev_production_line,run1,SOP004PERSON-030,1,3,2,3,False,True,0,0,False,True,0.5,,,Server Room,
dev_production_line,run1,SOP004PERSON-031,1,3,2,3,False,True,0,0,False,True,0.4,,,Gen. Warehous e,
dev_production_line,run1,SOP004PERSON-032,1,3,2,3,False,True,0,0,False,True,0.4,,,Main Entranc e,
dev_production_line,run1,SOP004PERSON-033,1,3,2,3,False,True,0,0,False,True,0.4,,,Chem. Stora ge,
dev_production_line,run1,SOP004PERSON-034,1,3,2,3,False,True,0,0,False,True,0.4,,,R&D; Lab,
dev_production_line,run1,SOP004PERSON-035,1,3,2,3,False,True,0,0,False,True,0.667,,,Cafeteria,
dev_production_line,run1,SOP004PERSON-036,1,3,2,3,False,True,0,0,False,True,0.5,,,Prod. Area,
dev_production_line,run1,SOP004PERSON-037,1,3,2,3,False,True,0,0,False,True,0.5,,,Server Room,
dev_production_line,run1,SOP004PERSON-038,1,3,2,3,False,True,0,0,False,True,0.4,,,Gen. Warehous e,
