ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,,ST01_FILLING,,,FLW,MUST be maintained between 112 and 128 L/min.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-ST01-02,,ST01_FILLING,,,TMP,exceeds 26°C - reduce speed by 10% and notify QC.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-ST01-03,,ST01_FILLING,,,PRS drop below 3.3 bar,inspect inlet valve within 5 min.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-ST02-01,,ST02_SEALING,,,TMP,MUST remain between 175°C and 195°C.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-ST02-02,,ST02_SEALING,,,TMP > 210°C,"emergency stop ST02, ST03, ST04.",CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-ST02-03,,ST02_SEALING,,,CUR increase >1.5 A above nominal sustained >5 min,schedule maintenance.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-ST02-04,,ST02_SEALING,,,CUR drift at ST02_SEALING,CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-ST03-01,,ST03_LABELLING,,,TEN,MUST be between 1.8 and 2.6 N.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-ST03-02,,ST03_LABELLING,,,CNT below 110 pcs/min,check for label jam. Below 100 (CRITICAL): halt.,CRITICAL,,,,100,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-ST03-03,,ST03_LABELLING,,,TEN STUCK >10 consecutive samples,sensor failure.,,,,,10,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-ST04-01,,ST04_PACKAGING,,,VIB > 0.20 mm/s,schedule maintenance within 24 h.,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-ST04-02,,ST04_PACKAGING,,,VIB > 0.35 mm/s,emergency stop; inspect bearings.,CRITICAL,,0.35,,,mm/s,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-ST04-03,,ST04_PACKAGING,,,SPD drops below 1.00 m/s without operator command,verify RULE-ST02-04.,,,,,1.00,m/s,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-SRV01-01,,SRV01_SERVERROOM,,,TMP,MUST NOT exceed 25°C.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-SRV01-02,,SRV01_SERVERROOM,,,TMP > 28°C,automatic controlled shutdown of all PLC nodes.,CRITICAL,,,,28,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-WRH01-01,,WRH01_WAREHOUSE,,,TMP,MUST remain between 0.5°C and 8°C.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-WRH01-02,,WRH01_WAREHOUSE,,,HUM above 85%RH,inspect door seals and activate dehumidifier.,,,,,85,%RH,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-WRH01-03,,WRH01_WAREHOUSE,,,TMP above 12°C (CRITICAL),notify QC and quarantine batch.,CRITICAL,,,,12,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-CHM01-01,,CHM01_CHEMICALSTORAGE,,,TMP,MUST remain between 10°C and 20°C.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-CHM01-02,,CHM01_CHEMICALSTORAGE,,,HUM above 50%RH,activate desiccant system if HUM >45%RH.,,,,,45,%RH,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-CHM01-03,,CHM01_CHEMICALSTORAGE,,,UNAUTHORIZED_ACCESS,escalate within 2 minutes.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-RND01-01,,RND01_RDLAB,,,TMP,MUST remain between 18°C and 26°C.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-RND01-02,,RND01_RDLAB,,,HUM drift above 65%RH,activate dehumidifier.,,,,,65,%RH,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-RND01-03,,RND01_RDLAB,,,HUM above 75%RH (CRITICAL),suspend sensitive experiments and inspect HVAC system.,CRITICAL,,,,75,%RH,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
RULE-CAF01-01,,CAF01_CAFETERIA,,,TMP above 26°C,check ventilation system.,,,,,26,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,naive,0,qwen2_5-7b-instruct_naive_run1,1,False
