ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLOW,FLW between 112 and 128,,,,,112,128,L/min,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TEMPERATURE,TMP exceeds 26,reduce speed by 10% and notify QC,,,,,26,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRESSURE,PRS drop below 3.3,inspect inlet valve within 5 min,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TEMPERATURE,TMP between 175 and 195,,,,,175,195,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TEMPERATURE,TMP > 210,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,CURRENT,CUR increase >1.5 above nominal sustained >5 min,schedule maintenance,,,1.5,,,A,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,ST02_SEALING_CUR,CURRENT,CORRELATES with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TENSION,TEN between 1.8 and 2.6,,,,,1.8,2.6,N,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,COUNT,CNT below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt.,,,,,100,110,pcs/min,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TENSION,TEN STUCK >10 consecutive samples,sensor failure,,10,,,,samples,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIBRATION,VIB > 0.20,schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIBRATION,VIB > 0.35,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPEED,SPD drops below 1.00 without operator command,verify RULE-ST02-04,,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TEMPERATURE,TMP MUST NOT exceed 25,,,25,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TEMPERATURE,TMP > 28,automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TEMPERATURE,TMP between 0.5 and 8,,,,,0.5,8,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUMIDITY,HUM above 85,inspect door seals and activate dehumidifier,,85,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TEMPERATURE,TMP between 10 and 20,,,,,10,20,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,HUMIDITY,HUM MUST NOT exceed 50,Activate desiccant system if HUM >45,,50,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-CHM01-03,AccessControlRule,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,ACCESS,UNAUTHORIZED_ACCESS,must be escalated within 2 minutes,,,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,TEMPERATURE,TMP between 18 and 26,for experimental validity,,,,18,26,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,HUMIDITY,HUM drift above 65,activate dehumidifier,,,65,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,react_abox,3,gemma3-12b_react_abox_s42_run1,2,False
