sensor,start,end,severity,detector,ruleIds,nAlarms
ST02_SEALING_TMP,2026-01-06T08:30:00,2026-01-06T08:32:00,CRITICAL,threshold,RULE-ST02-01,5
ST01_FILLING_PRS,2026-01-06T11:39:00,2026-01-06T11:45:00,WARNING,threshold,RULE-THR-ST01_FILLING-PRS-CRIT,13
ST04_PACKAGING_VIB,2026-01-07T07:40:00,2026-01-07T09:06:00,CRITICAL,drift|threshold,MAINT-01|RULE-ST04-01,243
ST04_PACKAGING_VIB,2026-01-07T09:28:30,2026-01-07T10:30:00,HIGH,drift,MAINT-01,124
ST03_LABELLING_TEN,2026-01-07T09:35:00,2026-01-07T09:42:00,MEDIUM,stuck,MAINT-03,15
SRV01_SERVERROOM_TMP,2026-01-07T12:00:00,2026-01-07T12:20:00,CRITICAL,threshold,RULE-SRV01-01,41
CAF01_CAFETERIA_TMP,2026-01-07T16:00:30,2026-01-07T16:30:00,CRITICAL,threshold,RULE-CAF01-01,49
ST01_FILLING_FLW,2026-01-08T06:30:00,2026-01-08T06:31:30,CRITICAL,threshold,RULE-ST01-01,4
ST02_SEALING_CUR,2026-01-08T09:18:30,2026-01-08T10:00:00,WARNING,threshold,RULE-THR-ST02_SEALING-CUR-CRIT,58
ST02_SEALING_CUR,2026-01-08T10:24:30,2026-01-08T11:00:30,HIGH,drift,MAINT-02,73
ST03_LABELLING_CNT,2026-01-09T07:35:00,2026-01-09T07:55:00,CRITICAL,threshold,RULE-THR-ST03_LABELLING-CNT-CRIT,41
CHM01_CHEMICALSTORAGE_TMP,2026-01-09T08:00:00,2026-01-09T08:45:00,CRITICAL,threshold,RULE-CHM01-01,91
WRH01_WAREHOUSE_TMP,2026-01-09T11:48:00,2026-01-09T13:54:30,CRITICAL,drift|threshold,MAINT-06|RULE-WRH01-01,348
RND01_RDLAB_HUM,2026-01-09T12:51:30,2026-01-09T13:14:00,HIGH,drift,MAINT-08,46
ST04_PACKAGING_VIB,2026-01-09T13:00:00,2026-01-09T13:00:30,CRITICAL,threshold,RULE-ST04-01,2
