run_id,base_exp_id,model,paradigm,run_n,level,reasoning_native,total_rules,sop_files,errors,duration_sec,avg_rule_sec,avg_llm_turns,temperature,prompt_tokens,completion_tokens,total_tokens,tokens_per_rule,truncated_calls
nemotron-3-nano-30b_naive_ctexts_s42_run1,nemotron-3-nano-30b_naive,nemotron-3-nano:30b,naive,1,0,False,60,4,0,93.88,1.5647,1.0,0,5132,8019,13151,219.2,0
nemotron-3-nano-30b_naive_ctexts_s42_run2,nemotron-3-nano-30b_naive,nemotron-3-nano:30b,naive,2,0,False,61,4,0,98.2,1.6098,1.0,0,5132,8093,13225,216.8,0
nemotron-3-nano-30b_naive_ctexts_s42_run3,nemotron-3-nano-30b_naive,nemotron-3-nano:30b,naive,3,0,False,55,4,0,70.76,1.2865,1.0,0,5132,7198,12330,224.2,0
nemotron-3-nano-30b_naive_ctexts_s42_run4,nemotron-3-nano-30b_naive,nemotron-3-nano:30b,naive,4,0,False,65,4,0,84.27,1.2965,1.0,0,5132,8373,13505,207.8,0
nemotron-3-nano-30b_naive_ctexts_s42_run5,nemotron-3-nano-30b_naive,nemotron-3-nano:30b,naive,5,0,False,61,4,0,87.86,1.4403,1.0,0,5132,8171,13303,218.1,0
nemotron-3-nano-30b_few_shot_static_ctexts_s42_run1,nemotron-3-nano-30b_few_shot_static,nemotron-3-nano:30b,few_shot_static,1,0,False,57,4,0,82.22,1.4425,1.0,0,6540,7949,14489,254.2,0
nemotron-3-nano-30b_few_shot_static_ctexts_s42_run2,nemotron-3-nano-30b_few_shot_static,nemotron-3-nano:30b,few_shot_static,2,0,False,68,4,0,103.03,1.5151,1.0,0,6540,10066,16606,244.2,0
nemotron-3-nano-30b_few_shot_static_ctexts_s42_run3,nemotron-3-nano-30b_few_shot_static,nemotron-3-nano:30b,few_shot_static,3,0,False,102,4,0,149.5,1.4656,1.0,0,6540,14383,20923,205.1,0
nemotron-3-nano-30b_few_shot_static_ctexts_s42_run4,nemotron-3-nano-30b_few_shot_static,nemotron-3-nano:30b,few_shot_static,4,0,False,55,4,0,105.25,1.9137,1.0,0,6540,8059,14599,265.4,0
nemotron-3-nano-30b_few_shot_static_ctexts_s42_run5,nemotron-3-nano-30b_few_shot_static,nemotron-3-nano:30b,few_shot_static,5,0,False,54,4,0,82.88,1.5348,1.0,0,6540,7639,14179,262.6,0
nemotron-3-nano-30b_graph_informed_ctexts_s42_run1,nemotron-3-nano-30b_graph_informed,nemotron-3-nano:30b,graph_informed,1,0,False,57,4,0,82.04,1.4393,1.0,0,5684,7734,13418,235.4,0
nemotron-3-nano-30b_graph_informed_ctexts_s42_run2,nemotron-3-nano-30b_graph_informed,nemotron-3-nano:30b,graph_informed,2,0,False,70,4,0,101.48,1.4497,1.0,0,5684,9651,15335,219.1,0
nemotron-3-nano-30b_graph_informed_ctexts_s42_run3,nemotron-3-nano-30b_graph_informed,nemotron-3-nano:30b,graph_informed,3,0,False,47,4,0,85.5,1.8191,1.0,0,5684,6539,12223,260.1,0
