ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow Rate,Between 112 and 128 L/min,Maintain flow,NORMAL,128,,,112,L/min,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,> 26°C,Reduce speed by 10% and notify QC,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,< 3.3 bar,Inspect inlet valve within 5 min,WARNING,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,Between 175°C and 195°C,Maintain temperature,NORMAL,195,,,175,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,> 210°C,"Emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,> 1.5 A above nominal sustained >5 min,Schedule maintenance,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,CUR drift correlates with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD,WARNING,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,Between 1.8 and 2.6 N,Maintain tension,NORMAL,2.6,,,1.8,N,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,"Below 110 pcs/min (Warn), Below 100 pcs/min (Crit)",Check label jam / Halt,CRITICAL,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-ST03-03,StatusRule,ST03_LABELLING,TEN,Tension,STUCK > 10 consecutive samples,Sensor failure alert,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.20 mm/s,Schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.35 mm/s,Emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,Speed,< 1.00 m/s,Verify RULE-ST02-04,WARNING,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,> 25°C,Limit exceedance alert,WARNING,25,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,> 28°C,Automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,Between 0.5°C and 8°C; Critical above 12°C,Maintain temp / Notify QC and quarantine batch,CRITICAL,12,8,,0.5,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,> 85%RH,Inspect door seals and activate dehumidifier,WARNING,,85,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,Between 10°C and 20°C; Critical above 25°C,Maintain temp / Activate emergency ventilation and notify safety officer,CRITICAL,25,20,,10,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,> 45%RH (Action) / > 50%RH (Limit),Activate desiccant system,WARNING,50,45,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-CHM01-03,SecurityRule,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,Access Control,Unauthorized personnel access,Escalate within 2 minutes,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,Between 18°C and 26°C,Maintain temperature,NORMAL,26,,,18,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,> 65%RH (Warn) / > 75%RH (Crit),Activate dehumidifier / Suspend experiments and inspect HVAC,CRITICAL,75,65,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,> 26°C,Check ventilation system,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,> 70%RH,Inspect drainage and activate ventilation,WARNING,,70,,,%RH,SOP_001_OperatingProcedures.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
R001,ThresholdRule,ST01_FILLING,TMP,Temperature,Out of bounds,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
R002,ThresholdRule,ST01_FILLING,PRS,Pressure,Out of bounds,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
R003,ThresholdRule,ST01_FILLING,FLW,Flow,Out of bounds,Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
R004,ThresholdRule,ST02_SEALING,TMP,Temperature,Out of bounds,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
R005,ThresholdRule,ST02_SEALING,PRS,Pressure,Out of bounds,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
R006,ThresholdRule,ST02_SEALING,CUR,Current,Out of bounds,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
R007,ThresholdRule,ST03_LABELLING,SPD,Speed,Out of bounds,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
R008,ThresholdRule,ST03_LABELLING,TEN,Tension,Out of bounds,Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,gemma4:31b,naive,0,gemma4-31b_naive_ctexts_s42_run1,1,False
