ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,,ST01_FILLING,,,,FLW MUST be maintained between 112 and 128 L/min.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_structured,1,qwen2_5-7b-instruct_cot_structured_run1,1,False
RULE-ST01-02,,ST01_FILLING,,,TMP exceeds 26°C,reduce speed by 10% and notify QC.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_structured,1,qwen2_5-7b-instruct_cot_structured_run1,1,False
RULE-ST01-03,,ST01_FILLING,,,PRS drop below 3.3 bar,inspect inlet valve within 5 min.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_structured,1,qwen2_5-7b-instruct_cot_structured_run1,1,False
RULE-ST02-01,,ST02_SEALING,,,TMP MUST remain between 175°C and 195°C.,,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_structured,1,qwen2_5-7b-instruct_cot_structured_run1,1,False
RULE-ST02-02,,ST02_SEALING,,,TMP > 210°C (CRITICAL),"emergency stop ST02, ST03, ST04.",CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_structured,1,qwen2_5-7b-instruct_cot_structured_run1,1,False
RULE-ST02-03,,ST02_SEALING,,,CUR increase >1.5 A above nominal sustained >5 min,schedule maintenance.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_structured,1,qwen2_5-7b-instruct_cot_structured_run1,1,False
RULE-ST02-04,,ST02_SEALING,,,CUR ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling.,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_structured,1,qwen2_5-7b-instruct_cot_structured_run1,1,False
RULE-ST03-01,,ST03_LABELLING,,,TEN MUST be between 1.8 and 2.6 N.,,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_structured,1,qwen2_5-7b-instruct_cot_structured_run1,1,False
RULE-ST03-02,,ST03_LABELLING,,,CNT below 110 pcs/min,check for label jam. Below 100 (CRITICAL): halt.,CRITICAL,,,,100,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_structured,1,qwen2_5-7b-instruct_cot_structured_run1,1,False
RULE-ST03-03,,ST03_LABELLING,,,TEN STUCK >10 consecutive samples,sensor failure.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,cot_structured,1,qwen2_5-7b-instruct_cot_structured_run1,1,False
