ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,warnHigh
ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,BETWEEN 112 AND 128,Maintain flow rate within specified range,Informational,,,,,l/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run4,2,False,
ST01-02,AlarmRule,ST01_FILLING,ST01_FILLING_TMP,TMP,ABOVE 26,Reduce speed by 10% and notify QC,Warning,,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run4,2,False,
ST01-03,AlarmRule,ST01_FILLING,ST01_FILLING_PRS,PRS,BELOW 3.3,Inspect inlet valve within 5 minutes,Warning,,3.3,,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run4,2,False,
ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,BETWEEN 175 AND 195,Maintain temperature within range,Informational,,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run4,2,False,
ST02-02,AlarmRule,ST02_SEALING,ST02_SEALING_TMP,TMP,ABOVE 210,"Emergency stop of ST02, ST03, ST04",Critical,210,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run4,2,False,
ST02-03,AlarmRule,ST02_SEALING,ST02_SEALING_CUR,CUR,ABOVE 1.5,Schedule maintenance,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run4,2,False,
ST02-04,FaultRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,BELOW 1.00,Verify ST02-04 trigger,Warning,,,1.00,1.00,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run4,2,False,
ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,BETWEEN 1.8 AND 2.6,Maintain tension within range,Informational,,,,,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run4,2,False,
ST03-02,AlarmRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,BETWEEN 100 AND 110,Check for label jam,Warning,110,,100,,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run4,2,False,
ST03-03,FaultRule,ST03_LABELLING,ST03_LABELLING_TEN_STUCK,TEN_STUCK,ABOVE 10,Sensor failure indicated,Warning,,10,,,samples,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,reflexion,2,nemotron-3-nano-30b_reflexion_ctexts_s42_run4,2,False,
