ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,definition,detectionCriterion,ontologyClass,sensorFrom,sensorTo,stationFrom,stationTo,type
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FlowRate,The Flow Rate (FLW) MUST be maintained between 112 and 128 L/min.,,,128,128,112,,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,"If the Temperature (TMP) exceeds 26°C, reduce speed by 10% and notify QC.",Reduce speed by 10% and notify QC if TMP > 26°C.,,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,PRS drop below 3.3 bar - inspect inlet valve within 5 min.,Inspect inlet valve within 5 min if PRS < 3.3 bar.,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ST02_SEALING_ST04_PACKAGING,CorrelationRule,ST02_SEALING,ST02_SEALING_CUR,Current,An increase in Current (CUR) at ST02_SEALING correlates with a reduction in speed at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,The Temperature (TMP) MUST remain between 175°C and 195°C.,,,195,195,175,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,"If the Temperature (TMP) exceeds 210°C, trigger an emergency stop for ST02, ST03, and ST04.","Emergency stop ST02, ST03, ST04 if TMP > 210°C.",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,"If the Current (CUR) increases by more than 1.5 A above nominal and is sustained for more than 5 minutes, schedule maintenance.",Schedule maintenance if CUR > 1.5A above nominal for more than 5 min.,,,,,,A,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ST03_LABELLING,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Force,The Force (TEN) MUST be between 1.8 and 2.6 N.,,,2.6,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,Count,"If the Count (CNT) drops below 110 pcs/min, check for a label jam. If it falls below 100 pcs/min (CRITICAL), halt production.",Check for label jam if CNT < 110. Halt production if CNT < 100.,,100,110,,,pcs/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ST03-03,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Force,"If the Force (TEN) is stuck for more than 10 consecutive samples, the sensor may be faulty.",,,10,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
RULE-ST04_PACKAGING,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,"If the Vibration (VIB) exceeds 0.20 mm/s, schedule maintenance within 24 hours. If it exceeds 0.35 mm/s, trigger an emergency stop and inspect bearings.",Schedule maintenance within 24 h if VIB > 0.20mm/s. Emergency stop; inspect bearings if VIB > 0.35mm/s.,,0.35,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False,,,,,,,,
