ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,authorizedRoles,crossReference,frequency,hazmatTrainingRequired,ontology,secondaryTrigger
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLOW,Flow,≥ 112 L/min AND ≤ 128 L/min,Adjust inlet valve if out of range; log deviation,Warning,128.0,,112.0,,L/min,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TEMP,Temperature,> 26.0°C,Reduce speed by 10% AND notify QC,Warning,,26.0,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRESSURE,Pressure,< 3.3 bar (WARNING) OR < 3.0 bar (CRITICAL),Inspect inlet valve within 5 min; HALT if < 3.0 bar,Critical,,,3.3,3.0,bar,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ST01-04,AnomalyRule,ST01_FILLING,ST01_FILLING_FLOW,Flow,"DRIFT > 5% over 10 min (e.g., 112 → 106 L/min)",Check for valve leakage; trigger MAINT-01,Warning,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TEMP,Temperature,≥ 175°C AND ≤ 195°C,Adjust heater/cooler if out of range,Warning,195.0,,175.0,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TEMP,Temperature,> 210°C,"EMERGENCY STOP ST02, ST03, ST04; notify safety officer",Critical,210.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CURRENT,Current,> nominal + 1.5A (sustained > 5 min) OR > nominal + 2.0A (CRITICAL),Schedule maintenance (MAINT-02) at > 1.5A; HALT at > 2.0A,Critical,2.0,1.5,,,A,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ST02-04,CrossStationRule,ST02_SEALING,ST02_SEALING_CURRENT,Current,DRIFT > 0.5A over 1 min → CORRELATED with ST04_PACKAGING_SPEED < 95% nominal,Log event; verify electrical coupling (MAINT-03),Info,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TENSION,Tension,≥ 1.8N AND ≤ 2.6N,Recalibrate roller if out of range,Warning,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_COUNT,Count,< 110 pcs/min (WARNING) OR < 100 pcs/min (CRITICAL),Check for label jam at < 110; HALT at < 100,Critical,,110.0,100.0,,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ST03-03,AnomalyRule,ST03_LABELLING,ST03_LABELLING_TENSION,Tension,STUCK reading (> 10 consecutive identical samples),Declare sensor failure; switch to backup sensor (MAINT-04),Critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIBRATION,Vibration,> 0.20 mm/s (WARNING) OR > 0.35 mm/s (CRITICAL),Schedule maintenance (MAINT-05) at > 0.20; EMERGENCY STOP at > 0.35,Critical,0.35,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPEED,Speed,< 1.00 m/s (uncommanded),Verify RULE-ST02-04 (electrical coupling); log event (MAINT-06),Warning,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TEMP,Temperature,< 25°C (MAX),Alert HVAC technician if > 24°C (WARNING),Warning,25.0,24.0,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TEMP,Temperature,> 28°C,AUTO-SHUTDOWN PLC nodes; notify IT (MAINT-07),Critical,28.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-SRV01-03,CrossStationRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TEMP,Temperature,> 30°C (sustained > 1 min),LINE HALT (propagates to ST01-ST04); notify production manager,Critical,30.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TEMP,Temperature,≥ 0.5°C AND ≤ 8°C (WARNING); > 12°C (CRITICAL),Quarantine batch at > 12°C; notify QC (MAINT-08),Critical,12.0,8.0,0.5,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUMIDITY,Humidity,> 85% RH,Inspect door seals; activate dehumidifier (MAINT-08),Warning,,85.0,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TEMP,Temperature,≥ 10°C AND ≤ 20°C (WARNING); > 25°C (CRITICAL),Activate emergency ventilation at > 25°C; notify safety officer,Critical,25.0,20.0,10.0,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUMIDITY,Humidity,> 50% RH (CRITICAL); > 45% RH (WARNING),Activate desiccant system at > 45% RH,Critical,50.0,45.0,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-ACCESS-01,AccessRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_ACCESS,Authorization,Unauthorized entry (RFID/biometric failure),Lock doors; escalate to security within 2 min (MAINT-08),Critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TEMP,Temperature,≥ 18°C AND ≤ 26°C (experimental validity range),Log deviation if out of range; alert researcher,Info,26.0,,18.0,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUMIDITY,Humidity,> 65% RH (WARNING); > 75% RH (CRITICAL),Activate dehumidifier at > 65%; SUSPEND experiments at > 75%,Critical,75.0,65.0,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TEMP,Temperature,> 26°C (WARNING); > 28°C (CRITICAL),Check ventilation at > 26°C; activate cooling at > 28°C,Warning,28.0,26.0,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUMIDITY,Humidity,> 70% RH,Inspect drainage; activate ventilation (MAINT-08),Warning,,70.0,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
MAINT-01,MaintenanceRule,ST01_FILLING,ST01_FILLING_FLOW,Flow,DRIFT > 5% over 10 min OR leak detected,Inspect inlet valve; replace seals if needed,Warning,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
MAINT-02,MaintenanceRule,ST02_SEALING,ST02_SEALING_CURRENT,Current,> nominal + 1.5A (sustained > 5 min),Check motor bearings; lubricate if needed,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
MAINT-03,MaintenanceRule,ST02_SEALING,ST02_SEALING_CURRENT,Current,CORRELATED with ST04_PACKAGING_SPEED reduction,Verify electrical coupling; check transformer load,Info,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
MAINT-04,MaintenanceRule,ST03_LABELLING,ST03_LABELLING_TENSION,Tension,STUCK reading (> 10 samples),Recalibrate sensor; replace if faulty,Critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
MAINT-05,MaintenanceRule,ST04_PACKAGING,ST04_PACKAGING_VIBRATION,Vibration,> 0.20 mm/s (sustained > 1 h),Inspect bearings; replace if worn,Warning,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
MAINT-06,MaintenanceRule,ST04_PACKAGING,ST04_PACKAGING_SPEED,Speed,< 1.00 m/s (uncommanded),Check mechanical coupling; verify RULE-ST02-04,Warning,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
MAINT-07,MaintenanceRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TEMP,Temperature,> 28°C (sustained > 5 min),Check HVAC filters; recalibrate thermostats,Critical,28.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
MAINT-08,MaintenanceRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TEMP,Temperature,> 12°C (sustained > 30 min),Inspect insulation; repair cooling unit,Critical,12.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,reflexion_guided,2,ministral-3-14b_reflexion_guided_s42_run1,3,False,,,,,,
