ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,correlatedEffect
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,level,>,maintain,threshold,128,128,112,112,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,temperature,>,reduce speed by 10% and notify QC,warning,26,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,pressure,<,inspect inlet valve within 5 min,warning,,,3.3,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,temperature,between,remain,threshold,195,,,175,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,temperature,>,"emergency stop ST02, ST03, ST04",critical,210,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,current,drift >1.5 A above nominal sustained >5 min,schedule maintenance,warning,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,force,between,remain,threshold,2.6,,,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,count,<,check for label jam; halt if below 100,warning,110,,100,100,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-ST03-03,ConditionRule,ST03_LABELLING,TEN_STUCK,count,>,sensor failure,warning,10,,,,consecutive samples,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,vibration,>,schedule maintenance within 24 h,warning,0.20,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run3,1,False,
