ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,between 112 and 128 L/min,,,,128,112,,L/min,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_basic,1,ministral-3-14b_cot_basic_s42_run1,1,False
RULE-ST01-02,StateRule,ST01_FILLING,TMP,Temperature,> 26°C,reduce speed by 10% and notify QC,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_basic,1,ministral-3-14b_cot_basic_s42_run1,1,False
RULE-ST01-03,StateRule,ST01_FILLING,PRS,Pressure,< 3.3 bar,inspect inlet valve within 5 min,CRITICAL,,,3.3,,bar,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_basic,1,ministral-3-14b_cot_basic_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,between 175°C and 195°C,,,,195,175,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_basic,1,ministral-3-14b_cot_basic_s42_run1,1,False
RULE-ST02-02,CriticalRule,ST02_SEALING,TMP,Temperature,> 210°C,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_basic,1,ministral-3-14b_cot_basic_s42_run1,1,False
RULE-ST02-03,MaintenanceRule,ST02_SEALING,CUR,Current,>1.5 A above nominal sustained >5 min,schedule maintenance,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_basic,1,ministral-3-14b_cot_basic_s42_run1,1,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,drift triggers WARNING,monitor ST04_PACKAGING-SPD,WARNING,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_basic,1,ministral-3-14b_cot_basic_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,between 1.8 and 2.6 N,,,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_basic,1,ministral-3-14b_cot_basic_s42_run1,1,False
RULE-ST03-02,StateRule,ST03_LABELLING,CNT,Count,< 110 pcs/min,check for label jam; <100 → halt,CRITICAL (below 100),,110,,100,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_basic,1,ministral-3-14b_cot_basic_s42_run1,1,False
RULE-ST03-03,StateRule,ST03_LABELLING,TEN,Tension,STUCK >10 consecutive samples,sensor failure,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,cot_basic,1,ministral-3-14b_cot_basic_s42_run1,1,False
