ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,actionType,metadata,nominal,nominalTolerance,subtype
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,Flow,between 112.0 and 128.0,maintain,,128.0,,112.0,,L/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,> 26.0,reduce speed by 10% and notify QC,WARNING,26.0,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,< 3.3,inspect inlet valve within 5 min,CRITICAL,,,3.3,,bar,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,between 175.0 and 195.0,remain,,195.0,,175.0,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,> 210.0,"emergency stop ST02, ST03, ST04",CRITICAL,210.0,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR_ACTUAL,Current,> (ST02_SEALING_CUR_NOMINAL + 1.5),schedule maintenance if sustained >5 min,WARNING,,,,,A,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST02-04,DependencyRule,ST02_SEALING,ST02_SEALING_CUR_ACTUAL,Current,WARNING triggered (RULE-ST02-03),monitor ST04_PACKAGING_LINE_SPD for speed reduction,WARNING,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,between 1.8 and 2.6,remain,,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST03-02_WARN,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,Count,< 110.0,check for label jam,WARNING,,110.0,,,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
RULE-ST03-02_CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,Count,< 100.0,halt production,CRITICAL,,,100.0,,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,reflexion,2,ministral-3-8b_reflexion_s42_run1,2,False,,,,,
