ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,Flow,MUST be maintained between 112 and 128 L/min,,,,128.0,112.0,,L/min,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,exceeds 26°C,reduce speed by 10% and notify QC,Warning,,26.0,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,drop below 3.3 bar,inspect inlet valve within 5 min,Critical,,,3.3,,bar,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,MUST remain between 175°C and 195°C,,,195.0,,175.0,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,> 210°C (CRITICAL),"emergency stop ST02, ST03, ST04",Critical,210.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,ST02_SEALING_CUR,Current,drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,MUST be between 1.8 and 2.6 N,,,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,Count,below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt,halt,Critical,,110.0,100.0,,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,STUCK >10 consecutive samples,sensor failure,Critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,> 0.20 mm/s (WARNING),schedule maintenance within 24 h,Warning,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,> 0.35 mm/s (CRITICAL),emergency stop; inspect bearings,Critical,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-ST04-03,ConditionRule,ST04_PACKAGING,ST04_PACKAGING_SPD,Speed,drops below 1.00 m/s without operator command,verify RULE-ST02-04,,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,MUST NOT exceed 25°C,,,25.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,> 28°C (CRITICAL),automatic controlled shutdown of all PLC nodes,Critical,28.0,,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,Temperature,MUST remain between 0.5°C and 8°C. CRITICAL above 12°C,notify QC and quarantine batch,Critical,12.0,8.0,0.5,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,Humidity,above 85%RH,inspect door seals and activate dehumidifier,Warning,,85.0,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,Temperature,MUST remain between 10°C and 20°C. CRITICAL above 25°C,activate emergency ventilation and notify safety officer immediately,Critical,25.0,20.0,10.0,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,Humidity,MUST NOT exceed 50%RH. Elevated humidity accelerates degradation of hygroscopic reagents. Activate desiccant system if HUM >45%RH,activate desiccant system,Warning,50.0,45.0,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-CHM01-03,AccessRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_ACCESS,AccessControl,Only personnel with hazmat training (technician/supervisor/manager role) are authorised to enter Chemical Storage. UNAUTHORIZED_ACCESS must be escalated within 2 minutes,escalate within 2 minutes,Critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,Temperature,MUST remain between 18°C and 26°C for experimental validity,,,26.0,,18.0,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,Humidity,drift above 65%RH - activate dehumidifier. Above 75%RH (CRITICAL) - suspend sensitive experiments and inspect HVAC system,suspend sensitive experiments and inspect HVAC system,Critical,75.0,65.0,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,Temperature,above 26°C,check ventilation system,Warning,,26.0,,,C,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,Humidity,above 70%RH,inspect drainage and activate ventilation,Warning,,70.0,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
SOP-002-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,30.0,26.0,18.0,15.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
SOP-002-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3.0,bar,SOP_002_AlarmThresholds.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
SOP-002-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,Flow,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,135.0,128.0,112.0,105.0,L/min,SOP_002_AlarmThresholds.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
SOP-002-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210.0,195.0,175.0,165.0,°C,SOP_002_AlarmThresholds.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
SOP-002-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_PRS,Pressure,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
SOP-002-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15.0,13.5,11.0,9.5,A,SOP_002_AlarmThresholds.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
SOP-002-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_SPD,Speed,CRIT_LO < WARN_LO < NOMINAL < WARN_HI < CRIT_HI,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,ministral-3:14b,graph_informed,0,ministral-3-14b_graph_informed_s42_run1,1,False
