ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,run_id,model_name,paradigm,level,text_truncated,llm_turns
RULE-ST01-01,OperationalRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW MUST be maintained between 112 and 128 L/min.,,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST01-02,OperationalRule,ST01_FILLING,ST01_FILLING_TMP,TMP,"If TMP exceeds 26°C, reduce speed by 10% and notify QC.",,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST01-03,OperationalRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS drop below 3.3 bar,inspect inlet valve within 5 min.,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST02-01,OperationalRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP MUST remain between 175°C and 195°C.,,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST02-02,OperationalRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP > 210°C (CRITICAL),"emergency stop ST02, ST03, ST04.",CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST02-03,OperationalRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR increase >1.5 A above nominal sustained >5 min,schedule maintenance.,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST02-04,OperationalRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,WARNING,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST03-01,OperationalRule,ST03_LABELLING,,,TEN MUST be between 1.8 and 2.6 N.,,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST03-02a,OperationalRule,ST03_LABELLING,,,CNT below 110 pcs/min,Check for label jam,WARNING,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST03-02b,OperationalRule,ST03_LABELLING,,,CNT below 100 pcs/min (CRITICAL),Halt labelling; inspect label path,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST03-03,OperationalRule,ST03_LABELLING,,,TEN STUCK >10 consecutive samples,sensor failure.,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST04-01,OperationalRule,ST04_PACKAGING,,,VIB > 0.20 mm/s (WARNING),schedule maintenance within 24 h.,WARNING,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST04-02,OperationalRule,ST04_PACKAGING,,,VIB > 0.35 mm/s (CRITICAL),emergency stop; inspect bearings.,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
RULE-ST04-03,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,SPD drops below 1.00 m/s without operator command,verify RULE-ST02-04.,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,baseline_b0,deterministic,baseline,0,False,0
