ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,FLOW,Flow rate between 112 and 128 L/min,,WARNING,,128,112,,L/min,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,TEMPERATURE,Temperature > 26°C,Reduce speed by 10% and notify QC,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,PRESSURE,Pressure < 3.3 bar,Inspect inlet valve within 5 min,WARNING,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,TEMPERATURE,Temperature between 175 and 195°C,,WARNING,,195,175,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,TEMPERATURE,Temperature > 210°C,"Emergency stop ST02, ST03, ST04",CRITICAL,210,210,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,CURRENT,Current increase > 1.5 A above nominal sustained > 5 min,Schedule maintenance,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-ST02-04,ThresholdRule,ST02_SEALING,CUR,CURRENT,Current increase > 1.5 A triggers warning; monitor ST04_PACKAGING-SPD,Monitor ST04_PACKAGING-SPD when CUR warning occurs,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,FORCE/TENSION,Tension between 1.8 and 2.6 N,,WARNING,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,COUNT,Label count below 110 pcs/min (check jam); below 100 pcs/min (critical: halt),Check for label jam; halt if critical,WARNING,,110,,100,pcs/min,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,FORCE/TENSION,Tension stuck for >10 consecutive samples,Declare sensor failure,CRITICAL,,,,,N,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,VIBRATION,Vibration > 0.20 mm/s,Schedule maintenance within 24 h,WARNING,,0.2,,,mm/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,VIBRATION,Vibration > 0.35 mm/s,Emergency stop; inspect bearings,CRITICAL,0.35,0.35,,,mm/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,SPEED,Speed drops below 1.00 m/s without operator command,Verify RULE-ST02-04,WARNING,,1.0,,,m/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,TEMPERATURE,Temperature not exceed 25°C,,WARNING,,25,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,TEMPERATURE,Temperature > 28°C,Automatic controlled shutdown of all PLC nodes,CRITICAL,28,28,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,TEMPERATURE,Temperature 0.5–8°C (normal); critical above 12°C,Notify QC and quarantine batch if critical,WARNING,12,8,0.5,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,HUMIDITY,Humidity > 85% RH,Inspect door seals and activate dehumidifier,WARNING,,85,,,%RH,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,TEMPERATURE,Temperature 10–20°C (normal); critical above 25°C,Activate emergency ventilation and notify safety officer if critical,WARNING,25,20,10,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,HUMIDITY,Humidity not exceed 50% RH; elevated >45% RH,Activate desiccant system if humidity >45% RH,WARNING,,45,,,%RH,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-CHM01-03,AccessControl,CHM01_CHEMICALSTORAGE,,,Only personnel with hazmat training (technician/supervisor/manager) authorized to enter; unauthorized access escalated within 2 minutes,Escalate unauthorized access within 2 minutes,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,TEMPERATURE,Temperature 18–26°C,,WARNING,,26,18,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,HUMIDITY,Humidity drift above 65% RH (activate dehumidifier); above 75% RH (critical: suspend experiments & inspect HVAC),Activate dehumidifier; suspend experiments & inspect HVAC if >75% RH,WARNING,75,65,,,%RH,SOP_001_OperatingProcedures.txt,gpt-oss:20b,cot_structured,1,gpt-oss-20b_cot_structured_s42_run1,1,False
