ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,,Flow must be maintained between 112 and 128 L/min,,,,128.0,112.0,,L/min,SOP_001_OperatingProcedures.txt,gpt-oss:20b,graph_informed,0,gpt-oss-20b_graph_informed_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,,Temperature exceeds 26°C,Reduce speed by 10% and notify QC,WARNING,,26.0,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,graph_informed,0,gpt-oss-20b_graph_informed_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,,Pressure drop below 3.3 bar,Inspect inlet valve within 5 min,WARNING,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gpt-oss:20b,graph_informed,0,gpt-oss-20b_graph_informed_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,,Temperature must remain between 175°C and 195°C,,,,195.0,175.0,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,graph_informed,0,gpt-oss-20b_graph_informed_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,,Temperature exceeds 210°C,"Emergency stop ST02, ST03, ST04",CRITICAL,210.0,,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,graph_informed,0,gpt-oss-20b_graph_informed_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,,Current increase >1.5 A above nominal sustained >5 min,Schedule maintenance,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,gpt-oss:20b,graph_informed,0,gpt-oss-20b_graph_informed_s42_run1,1,False
RULE-ST02-04,LinkRule,ST02_SEALING,,,CUR drift at ST02_SEALING correlates with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING_SPD whenever ST02_SEALING_CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,gpt-oss:20b,graph_informed,0,gpt-oss-20b_graph_informed_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,,Tension must be between 1.8 and 2.6 N,,,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,gpt-oss:20b,graph_informed,0,gpt-oss-20b_graph_informed_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,,Cycle count falls below 110 pcs/min (below 100 is critical),Check for label jam; halt if below 100 PCS/MIN,,,,110.0,100.0,pcs/min,SOP_001_OperatingProcedures.txt,gpt-oss:20b,graph_informed,0,gpt-oss-20b_graph_informed_s42_run1,1,False
RULE-ST03-03,StatusRule,ST03_LABELLING,,,Tension stuck >10 consecutive samples,Mark as sensor failure,,,,,,,SOP_001_OperatingProcedures.txt,gpt-oss:20b,graph_informed,0,gpt-oss-20b_graph_informed_s42_run1,1,False
