ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,FLOW_RATE,>=,,,,,,3.3,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,reflexion_guided,2,deepseek-r1-distill-qwen-7b_reflexion_guided_run1,3,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,TEMPERATURE,>=,,,26.0,,,,C,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,reflexion_guided,2,deepseek-r1-distill-qwen-7b_reflexion_guided_run1,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRESSURE,PRESSURE,>=,,,3.3,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,reflexion_guided,2,deepseek-r1-distill-qwen-7b_reflexion_guided_run1,3,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,TEMPERATURE,BETWEEN,,,195.0,,,,C,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,reflexion_guided,2,deepseek-r1-distill-qwen-7b_reflexion_guided_run1,3,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,TEMPERATURE,>=,,,210.0,,,,C,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,reflexion_guided,2,deepseek-r1-distill-qwen-7b_reflexion_guided_run1,3,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,CURRENT,>=,,,1.5,,,,A,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,reflexion_guided,2,deepseek-r1-distill-qwen-7b_reflexion_guided_run1,3,False
RULE-ST02-04,ThresholdRule,ST02_SEALING,CUR,CURRENT,>=,,,5.0,,,,A,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,reflexion_guided,2,deepseek-r1-distill-qwen-7b_reflexion_guided_run1,3,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,TEMPERATURE,>=,,,10.0,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,reflexion_guided,2,deepseek-r1-distill-qwen-7b_reflexion_guided_run1,3,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,RATE,>=,,,100.0,,,,pcs/min,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,reflexion_guided,2,deepseek-r1-distill-qwen-7b_reflexion_guided_run1,3,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,TEMPERATURE,>=,,,10.0,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,reflexion_guided,2,deepseek-r1-distill-qwen-7b_reflexion_guided_run1,3,False
