ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,between 175°C and 195°C,maintain temperature,,,195,175,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,self_consistency,2,gpt-oss-20b_self_consistency_s42_run1,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,< 3.3 bar,inspect inlet valve within 5 min,Warning,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gpt-oss:20b,self_consistency,2,gpt-oss-20b_self_consistency_s42_run1,3,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,exceeds 0.35 mm/s,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,self_consistency,2,gpt-oss-20b_self_consistency_s42_run1,3,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,exceeds 0.20 mm/s,schedule maintenance within 24 h,WARNING,,0.2,,,mm/s,SOP_001_OperatingProcedures.txt,gpt-oss:20b,self_consistency,2,gpt-oss-20b_self_consistency_s42_run1,3,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,exceeds 210°C,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,self_consistency,2,gpt-oss-20b_self_consistency_s42_run1,3,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,exceeds 28°C,automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,self_consistency,2,gpt-oss-20b_self_consistency_s42_run1,3,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,between 18 and 26°C,maintain temperature,WARNING,,26,18,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,self_consistency,2,gpt-oss-20b_self_consistency_s42_run1,3,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Force,between 1.8 and 2.6 N,maintain tension,,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,gpt-oss:20b,self_consistency,2,gpt-oss-20b_self_consistency_s42_run1,3,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,<= 25°C,maintain temperature,WARNING,,25,,,°C,SOP_001_OperatingProcedures.txt,gpt-oss:20b,self_consistency,2,gpt-oss-20b_self_consistency_s42_run1,3,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,,,1.5,,,A,SOP_001_OperatingProcedures.txt,gpt-oss:20b,self_consistency,2,gpt-oss-20b_self_consistency_s42_run1,3,False
