ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,causal_dependency,depends_on,pattern,primary_fault,resolution_steps,secondary_effect,station_1,station_2
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,MAINTAINED between 112 and 128 L/min,MAINTAINED,INFO,,,,,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,exceeds 26°C,reduce speed by 10% and notify QC,WARNING,26,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drop below 3.3 bar,inspect inlet valve within 5 min,CRITICAL,,,3.3,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,MAINTAINED between 175°C and 195°C,MAINTAINED,INFO,,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-ST02-02,EmergencyStopRule,ST02_SEALING,TMP,Temperature,CRITICAL>210°C,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,WARNING,1.5,1.5,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-ST04-04,DependencyRule,ST04_PACKAGING,VIB,Vibration,maintain >0.20 mm/s,schedule maintenance within 24 h,WARNING,0.2,0.2,0.2,0.2,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-ST04-05,ThresholdRule,ST04_PACKAGING,VIB,Vibration,CRITICAL>0.35 mm/s,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-ST04-06,ThresholdRule,ST04_PACKAGING,SPD,Speed,drops below 1.00 m/s without operator command,verify RULE-ST02-04,INFO,,,1.0,1.0,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,MAINTAINED NOT exceed 25°C,MAINTAINED,INFO,25,25,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,CRITICAL>28°C,automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,MAINTAINED between 0.5°C and 8°C,MAINTAINED,INFO,8,8,0.5,0.5,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,CRITICAL>12°C,notify QC and quarantine batch,CRITICAL,12,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-WRH01-03,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,Above 85%RH,inspect door seals and activate dehumidifier,WARNING,0.85,0.85,0.85,,fraction,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,CRITICAL>25°C,activate emergency ventilation and notify safety officer immediately,CRITICAL,25,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,HUM >45%RH,activate desiccant system,WARNING,0.45,0.45,0.45,,fraction,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-CHM01-03,UnauthorizedAccessRule,CHM01_CHEMICALSTORAGE,,,Only personnel with hazmat training are authorised to enter,escalate UNAUTHORIZED_ACCESS within 2 minutes,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,MAINTAINED between 18°C and 26°C,MAINTAINED,INFO,26,26,18,18,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,drift above 65%RH,activate dehumidifier,WARNING,0.65,0.65,0.65,,fraction,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_structured,1,nemotron-3-nano-30b_cot_structured_ctexts_s42_run5,1,False,,,,,,,,
