ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST02-04,ThresholdRule,ST02_SEALING,CUR,Current,drift correlates with speed reduction at ST04_PACKAGING,monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,WARNING,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,self_consistency,2,nemotron-3-nano-30b_self_consistency_ctexts_s42_run5,3,False
RULE-CHM01-03,UnauthorizedAccessRule,CHM01_CHEMICALSTORAGE,,,UNAUTHORIZED_ACCESS,escalate within 2 minutes,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,self_consistency,2,nemotron-3-nano-30b_self_consistency_ctexts_s42_run5,3,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,WARNING,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,self_consistency,2,nemotron-3-nano-30b_self_consistency_ctexts_s42_run5,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drop below 3.3,inspect inlet valve within 5 min,CRITICAL,,,3.3,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,self_consistency,2,nemotron-3-nano-30b_self_consistency_ctexts_s42_run5,3,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,drift above 65,activate dehumidifier,WARNING,65,65,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,self_consistency,2,nemotron-3-nano-30b_self_consistency_ctexts_s42_run5,3,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,exceeds 26,reduce speed by 10% and notify QC,WARNING,26,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,self_consistency,2,nemotron-3-nano-30b_self_consistency_ctexts_s42_run5,3,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,above 85,inspect door seals and activate dehumidifier,WARNING,85,85,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,self_consistency,2,nemotron-3-nano-30b_self_consistency_ctexts_s42_run5,3,False
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,above 26,check ventilation system,WARNING,26,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,self_consistency,2,nemotron-3-nano-30b_self_consistency_ctexts_s42_run5,3,False
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,above 70,inspect drainage and activate ventilation,WARNING,70,70,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,self_consistency,2,nemotron-3-nano-30b_self_consistency_ctexts_s42_run5,3,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,exceeds 210,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,self_consistency,2,nemotron-3-nano-30b_self_consistency_ctexts_s42_run5,3,False
