ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,Flow,between 112 and 128,,,,128,112,,L/min,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,exceeds 26°C,reduce speed by 10% and notify QC,,,26,,,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,drops below 3.3 bar,inspect inlet valve within 5 min,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,between 175°C and 195°C,,,,195,175,,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-ST02-02,CriticalThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,exceeds 210°C,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,,,1.5,,,A,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,ST02_SEALING_CUR,Current,drift correlates with speed reduction at ST04_PACKAGING,monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,between 1.8 and 2.6 N,,,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,Count,below 110 pcs/min,check for label jam,,,110,,100,pcs/min,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,stuck >10 consecutive samples,sensor failure,,,,,,,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,exceeds 0.20 mm/s,schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-ST04-02,CriticalThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,exceeds 0.35 mm/s,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,Speed,drops below 1.00 m/s without operator command,verify RULE-ST02-04,,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,does not exceed 25°C,,,,25,,,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-SRV01-02,CriticalThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,Temperature,exceeds 28°C,automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,Temperature,between 0.5°C and 8°C,,,,8,0.5,,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,Humidity,above 85%RH,inspect door seals and activate dehumidifier,,,85,,,%RH,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,Temperature,between 10°C and 20°C,,,,20,10,,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,graph_informed,0,qwen-qwen3-4b-2507_graph_informed_s42_run1,1,False
