ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01,FLW,flow,maintained between 112 and 128 L/min,maintain,warning,,128,112,,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run2,1,False
RULE-ST01-02,ThermalAlertRule,ST01,TMP,temperature,exceeds 26°C,reduce speed by 10% and notify QC,warning,,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run2,1,False
RULE-ST01-03,ThresholdRule,ST01,PRS,pressure,drop below 3.3 bar,inspect inlet valve,warning,,,3.3,,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run2,1,False
RULE-ST02-01,ThresholdRule,ST02,TMP,temperature,maintained between 175 and 195°C,maintain,warning,,195,175,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run2,1,False
RULE-ST02-02,CriticalAlertRule,ST02,TMP,temperature,CRITICAL,"emergency stop ST02, ST03, ST04",critical,210,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run2,1,False
RULE-ST02-03,EventConditionRule,ST02,CUR,current,drift >1.5 A above nominal sustained >5 min,schedule maintenance,warning,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run2,1,False
RULE-ST02-04,CorrelationRule,ST02,CUR,current,drift above nominal triggers monitoring of ST04_PACKAGING-SPD,monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a warning,warning,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run2,1,False
RULE-ST03-01,ThresholdRule,ST03,TEN,tensile_strength,maintained between 1.8 and 2.6 N,maintain,warning,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run2,1,False
RULE-ST03-02,CriticalAlertRule,ST03,CNT,count_per_minute,below 100 (CRITICAL) halt,halt line,critical,110,,100,,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run2,1,False
RULE-ST03-03,EventConditionRule,ST03,TEN,stuck_count,stuck >10 consecutive samples,detect sensor failure,warning,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,cot_basic,1,nemotron-3-nano-30b_cot_basic_ctexts_s42_run2,1,False
