ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,,FLW between 112 and 128 L/min,,,,128.0,112.0,,L/min,SOP_001_OperatingProcedures.txt,gemma3:12b,graph_informed,0,gemma3-12b_graph_informed_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,,TMP exceeds 26°C,reduce speed by 10% and notify QC,,26.0,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,graph_informed,0,gemma3-12b_graph_informed_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,,PRS drop below 3.3 bar,inspect inlet valve within 5 min,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma3:12b,graph_informed,0,gemma3-12b_graph_informed_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,,TMP between 175°C and 195°C,,,195.0,,175.0,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,graph_informed,0,gemma3-12b_graph_informed_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,,TMP > 210°C,"emergency stop ST02, ST03, ST04",CRITICAL,210.0,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,graph_informed,0,gemma3-12b_graph_informed_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,,CUR increase >1.5 A above nominal sustained >5 min,schedule maintenance,,,1.5,,,A,SOP_001_OperatingProcedures.txt,gemma3:12b,graph_informed,0,gemma3-12b_graph_informed_s42_run1,1,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,ST02_SEALING_CUR,,CUR correlates with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,graph_informed,0,gemma3-12b_graph_informed_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,,TEN between 1.8 and 2.6 N,,,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,gemma3:12b,graph_informed,0,gemma3-12b_graph_informed_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,,CNT below 110 pcs/min,check for label jam. Below 100 (CRITICAL): halt,,,110.0,,100.0,pcs/min,SOP_001_OperatingProcedures.txt,gemma3:12b,graph_informed,0,gemma3-12b_graph_informed_s42_run1,1,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,,TEN STUCK >10 consecutive samples,sensor failure,,10.0,,,,samples,SOP_001_OperatingProcedures.txt,gemma3:12b,graph_informed,0,gemma3-12b_graph_informed_s42_run1,1,False
