ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
1,ThresholdRule,Production Line A,TMP,Temperature,CRIT_LO,Inspect and notify maintenance,,,,18,15,°C,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,cot_basic,1,deepseek-r1-distill-qwen-7b_cot_basic_run1,1,False
2,ThresholdRule,Production Line A,PRS,Pressure,CRIT_LO,Inspect and notify maintenance,,,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,cot_basic,1,deepseek-r1-distill-qwen-7b_cot_basic_run1,1,False
3,ThresholdRule,Production Line A,FLW,Flow,CRIT_LO,Inspect and notify maintenance,,,128,112,105,L/min,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,cot_basic,1,deepseek-r1-distill-qwen-7b_cot_basic_run1,1,False
4,ThresholdRule,Production Line A,TMP,Temperature,CRIT_LO,E-STOP ST02/ST03/ST04; inspect element,,,195,175,165,°C,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,cot_basic,1,deepseek-r1-distill-qwen-7b_cot_basic_run1,1,False
5,ThresholdRule,Production Line A,PRS,Pressure,CRIT_LO,Inspect and notify maintenance,,,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,cot_basic,1,deepseek-r1-distill-qwen-7b_cot_basic_run1,1,False
6,ThresholdRule,Production Line A,CUR,Current,CRIT_LO,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),,,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,cot_basic,1,deepseek-r1-distill-qwen-7b_cot_basic_run1,1,False
7,ThresholdRule,Production Line A,TMP,Temperature,CRIT_LO,Inspect and notify maintenance,,,26,18,15,°C,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,cot_basic,1,deepseek-r1-distill-qwen-7b_cot_basic_run1,1,False
8,ThresholdRule,Production Line A,PRS,Pressure,CRIT_LO,Inspect and notify maintenance,,,4.8,3.3,3,bar,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,cot_basic,1,deepseek-r1-distill-qwen-7b_cot_basic_run1,1,False
9,ThresholdRule,Production Line A,CUR,Current,CRIT_LO,Inspect and notify maintenance,,,11,7.5,6.5,A,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,cot_basic,1,deepseek-r1-distill-qwen-7b_cot_basic_run1,1,False
10,ThresholdRule,Production Line A,TMP,Temperature,CRIT_LO,Inspect and notify maintenance,,,25,18,16,°C,SOP_002_AlarmThresholds.txt,deepseek-r1-distill-qwen-7b,cot_basic,1,deepseek-r1-distill-qwen-7b_cot_basic_run1,1,False
