ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,FLOW_RATE,between 112 and 128 L/min,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,react_abox,3,llama-3_2-3b-instruct_react_abox_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,TEMPERATURE,above 26°C,reduce speed by 10% and notify QC,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,react_abox,3,llama-3_2-3b-instruct_react_abox_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,PRESSURE,below 3.3 bar,inspect inlet valve within 5 min,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,react_abox,3,llama-3_2-3b-instruct_react_abox_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,TEMPERATURE,between 175 and 195°C,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,react_abox,3,llama-3_2-3b-instruct_react_abox_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,TEMPERATURE,above 210°C,"emergency stop ST02, ST03, ST04",,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,react_abox,3,llama-3_2-3b-instruct_react_abox_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,CURRENT,above 1.5 A above nominal sustained >5 min,schedule maintenance,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,react_abox,3,llama-3_2-3b-instruct_react_abox_run1,1,False
RULE-ST02-04,ThresholdRule,ST02_SEALING,,,correlates with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,Monitor ST04_PACKAGING-SPD,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,react_abox,3,llama-3_2-3b-instruct_react_abox_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,FORCE,between 1.8 and 2.6 N,,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,react_abox,3,llama-3_2-3b-instruct_react_abox_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,COUNT,below 110 pcs/min,check for label jam. Below 100 (CRITICAL): halt.,,0,0,0,0,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,react_abox,3,llama-3_2-3b-instruct_react_abox_run1,1,False
SOP-002-01,,ST01_FILLING,TMP,ST01_FILLING_TMP,,,,30.0,26,18,15,C,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,react_abox,3,llama-3_2-3b-instruct_react_abox_run1,1,False
