ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,langgraph_iterations
RULE-ST01-01,ThresholdRule,ST01_FILLING,,,FLW BETWEEN 112 AND 128 L/min,,INFO,,,,,L/min,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,langgraph,2,qwen2_5-7b-instruct_langgraph_run1,3,False,3
RULE-ST01-02,OperationalRule,ST01_FILLING,,,TMP EXCEEDS 26°C,REDUCE SPEED BY 10% AND NOTIFY QC,INFO,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,langgraph,2,qwen2_5-7b-instruct_langgraph_run1,3,False,3
RULE-ST01-03,OperationalRule,ST01_FILLING,,,PRS DROPS BELOW 3.3 bar,INSPECT INLET VALVE WITHIN 5 MIN,INFO,,,,,bar,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,langgraph,2,qwen2_5-7b-instruct_langgraph_run1,3,False,3
RULE-ST02-01,ThresholdRule,ST02_SEALING,,,TMP BETWEEN 175°C AND 195°C,,INFO,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,langgraph,2,qwen2_5-7b-instruct_langgraph_run1,3,False,3
RULE-ST02-02,OperationalRule,ST02_SEALING,,,TMP > 210°C (CRITICAL),"EMERGENCY STOP ST02, ST03, ST04",CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,langgraph,2,qwen2_5-7b-instruct_langgraph_run1,3,False,3
RULE-ST02-03,MaintenanceRule,ST02_SEALING,,,CUR INCREASE >1.5 A SUSTAINED >5 MIN,SCHEDULE MAINTENANCE,INFO,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,langgraph,2,qwen2_5-7b-instruct_langgraph_run1,3,False,3
RULE-ST02-04,AnomalyRule,ST02_SEALING,,,CUR DRIFT AT ST02_SEALING CORRELATES WITH SPEED REDUCTION AT ST04_PACKAGING DUE TO SHARED ELECTRICAL COUPLING,MONITOR ST04_PACKAGING-SPD WHENEVER ST02_SEALING-CUR TRIGGERS A WARNING,INFO,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,langgraph,2,qwen2_5-7b-instruct_langgraph_run1,3,False,3
RULE-ST03-01,ThresholdRule,ST03_LABELLING,,,TEN BETWEEN 1.8 AND 2.6 N,,INFO,,,,,N,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,langgraph,2,qwen2_5-7b-instruct_langgraph_run1,3,False,3
RULE-ST03-02,OperationalRule,ST03_LABELLING,,,CNT < 110 PCS/MIN,CHECK FOR LABEL JAM; HALT IF < 100 (CRITICAL),CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,langgraph,2,qwen2_5-7b-instruct_langgraph_run1,3,False,3
RULE-ST03-03,OperationalRule,ST03_LABELLING,,,TEN STUCK >10 CONSECUTIVE SAMPLES,SENSOR FAILURE,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,langgraph,2,qwen2_5-7b-instruct_langgraph_run1,3,False,3
