ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,must be,maintained between,Normal,128,128,112,112,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-ST01-02,ConditionalActionRule,ST01_FILLING,TMP,Temperature,exceeds,reduce speed by 10% and notify QC,Warning,,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drop below,inspect inlet valve within 5 min,Warning,,,3.3,,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,must remain between,maintained between,Normal,195,195,175,175,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-ST02-02,CriticalActionRule,ST02_SEALING,,,,"emergency stop ST02, ST03, ST04",Critical,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-ST02-03,StatisticalRule,ST02_SEALING,CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,drift correlates with speed reduction at ST04_PACKAGING,monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,must be,maintained between,Normal,2.6,2.6,1.8,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-ST03-02,ConditionalActionRule,ST03_LABELLING,CNT,Count,below 110 pcs/min,check for label jam,Warning,,110,,,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-ST03-03,ConditionRule,ST03_LABELLING,TEN,Tension,STUCK >10 consecutive samples,sensor failure,Warning,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,must be,schedule maintenance within 24 h,Warning,0.20,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-ST04-02,CriticalActionRule,ST04_PACKAGING,VIB,Vibration,must be,emergency stop; inspect bearings,Critical,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-ST04-03,ConditionalActionRule,ST04_PACKAGING,SPD,Speed,drops below 1.00 m/s without operator command,verify RULE-ST02-04,Warning,,1.00,,,m/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,must NOT exceed,maintained,Warning,25,25,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-SRV01-02,CriticalActionRule,SRV01_SERVERROOM,TMP,Temperature,exceeds,automatic controlled shutdown of all PLC nodes,Critical,28,28,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,must remain between,maintained between,Warning,12,12,0.5,0.5,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-WRH01-02,ConditionalActionRule,WRH01_WAREHOUSE,HUM,Humidity,above 85%RH,inspect door seals and activate dehumidifier,Warning,,85,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,must remain between,maintained between,Warning,25,25,10,10,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,must NOT exceed,activate desiccant system if HUM >45%RH,Warning,,45,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-CHM01-03,UnauthorizedAccessRule,CHM01_CHEMICALSTORAGE,,,UNAUTHORIZED_ACCESS,escalate within 2 minutes,Critical,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,must remain between,maintained between,Warning,26,26,18,18,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-RND01-02,ConditionalActionRule,RND01_RDLAB,HUM,Humidity,drift above 65%RH,activate dehumidifier,Warning,,65,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-RND01-03,CriticalActionRule,RND01_RDLAB,HUM,Humidity,above 75%RH,suspend sensitive experiments and inspect HVAC system,Critical,,75,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-CAF01-01,ConditionalActionRule,CAF01_CAFETERIA,TMP,Temperature,above 26°C,check ventilation system,Warning,,26,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
RULE-CAF01-02,ConditionalActionRule,CAF01_CAFETERIA,HUM,Humidity,above 70%RH,inspect drainage and activate ventilation,Warning,,70,,,%RH,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
THR-ST01_FILLING_TMP,ThresholdRule,ST01_FILLING,TMP,Temperature,Value <= CRIT_LO OR Value >= CRIT_HI,Inspect and notify maintenance,Critical,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
THR-ST01_FILLING_PR,ThresholdRule,ST01_FILLING,PRS,Pressure,Value <= CRIT_LO OR Value >= CRIT_HI,Inspect and notify maintenance,Critical,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
THR-ST01_FILLING_FLW,ThresholdRule,ST01_FILLING,FLW,Flow,Value <= CRIT_LO OR Value >= CRIT_HI,Inspect and notify maintenance,Critical,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,nemotron-3-nano:30b,pre_act,1,nemotron-3-nano-30b_pre_act_ctexts_s42_run4,1,False
