ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,dependentCondition,dependentSensor,dependentStation
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,maintained,N/A,,,128,112,,L/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,exceeds,reduce speed by 10% and notify QC,WARNING,,26,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drop below,inspect inlet valve within 5 min,CRITICAL,,,3.3,,bar,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,remain between,N/A,,195,,175,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,exceeds,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,WARNING,,,,,A,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ST02-04,DependencyRule,ST02_SEALING,CUR,Current,CUR drift at ST02_SEALING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,WARNING,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,between,N/A,,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,below,check for label jam; below 100 (CRITICAL): halt,CRITICAL,,110,100,,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,Tension,stuck >10 consecutive samples,sensor failure,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,exceeds,schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,exceeds,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
RULE-ST04-03,DependencyRule,ST04_PACKAGING,SPD,Speed,drops below 1.00 m/s without operator command,verify RULE-ST02-04,CRITICAL,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_structured,1,ministral-3-8b_cot_structured_s42_run1,1,False,,,
