ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,> 26°C,reduce speed by 10% and notify QC,Warning,,26,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,self_consistency,2,ministral-3-14b_self_consistency_s42_run1,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,< 3.3 bar,inspect inlet valve within 5 min,Critical,,,3.3,,bar,SOP_001_OperatingProcedures.txt,ministral-3:14b,self_consistency,2,ministral-3-14b_self_consistency_s42_run1,3,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,> 210°C,"emergency stop ST02, ST03, ST04",Critical,210,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,self_consistency,2,ministral-3-14b_self_consistency_s42_run1,3,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,>1.5 A above nominal sustained >5 min,schedule maintenance,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,ministral-3:14b,self_consistency,2,ministral-3-14b_self_consistency_s42_run1,3,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,self_consistency,2,ministral-3-14b_self_consistency_s42_run1,3,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,Tension,STUCK >10 consecutive samples,sensor failure,Critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:14b,self_consistency,2,ministral-3-14b_self_consistency_s42_run1,3,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.20 mm/s,schedule maintenance within 24 h,Warning,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,self_consistency,2,ministral-3-14b_self_consistency_s42_run1,3,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.35 mm/s,emergency stop; inspect bearings,Critical,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:14b,self_consistency,2,ministral-3-14b_self_consistency_s42_run1,3,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,MUST NOT exceed 25°C,,,25,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,self_consistency,2,ministral-3-14b_self_consistency_s42_run1,3,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,> 28°C,automatic controlled shutdown of all PLC nodes,Critical,28,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:14b,self_consistency,2,ministral-3-14b_self_consistency_s42_run1,3,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,> 85%RH,inspect door seals and activate dehumidifier,Warning,,85,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:14b,self_consistency,2,ministral-3-14b_self_consistency_s42_run1,3,False
