ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,> 26,reduce speed by 10% and notify QC,Warning,,26,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,self_consistency,2,gemma4-31b_self_consistency_ctexts_s42_run4,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,< 3.3,inspect inlet valve within 5 min,Warning,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma4:31b,self_consistency,2,gemma4-31b_self_consistency_ctexts_s42_run4,3,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,> 210,"emergency stop ST02, ST03, ST04",Critical,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,self_consistency,2,gemma4-31b_self_consistency_ctexts_s42_run4,3,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,> 1.5 above nominal sustained > 5 min,schedule maintenance,Warning,,1.5,,,A,SOP_001_OperatingProcedures.txt,gemma4:31b,self_consistency,2,gemma4-31b_self_consistency_ctexts_s42_run4,3,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,CUR drift correlates with ST04_PACKAGING-SPD,Monitor ST04_PACKAGING-SPD,Warning,,,,,,SOP_001_OperatingProcedures.txt,gemma4:31b,self_consistency,2,gemma4-31b_self_consistency_ctexts_s42_run4,3,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,"< 110 (Warning), < 100 (Critical)",check for label jam / halt,Critical,,,110,100,pcs/min,SOP_001_OperatingProcedures.txt,gemma4:31b,self_consistency,2,gemma4-31b_self_consistency_ctexts_s42_run4,3,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.20,schedule maintenance within 24 h,Warning,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,gemma4:31b,self_consistency,2,gemma4-31b_self_consistency_ctexts_s42_run4,3,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,> 0.35,emergency stop; inspect bearings,Critical,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma4:31b,self_consistency,2,gemma4-31b_self_consistency_ctexts_s42_run4,3,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,Speed,< 1.00,verify RULE-ST02-04,Warning,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,gemma4:31b,self_consistency,2,gemma4-31b_self_consistency_ctexts_s42_run4,3,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,> 28,automatic controlled shutdown of all PLC nodes,Critical,28,,,,°C,SOP_001_OperatingProcedures.txt,gemma4:31b,self_consistency,2,gemma4-31b_self_consistency_ctexts_s42_run4,3,False
