ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,FlowRate,IS,MUST be maintained between,,128,,,,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,exceeds,,CRITICAL,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drops below,inspect inlet valve within 5 min.,,,,,3.3,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,MUST remain between,,,195,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,> ,"emergency stop ST02, ST03, ST04.",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
ST01_FILLING-TMP,ThresholdRule,ST01_FILLING,TMP,,CRIT_LO,Inspect and notify maintenance,,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
ST01_FILLING-PRS,ThresholdRule,ST01_FILLING,PRS,,CRIT_LO,Inspect and notify maintenance,,4.8,4.2,3,3,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
ST01_FILLING-FLW,ThresholdRule,ST01_FILLING,FLW,,CRIT_LO,Inspect and notify maintenance,,135,128,105,105,L/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
ST02_SEALING-TMP,ThresholdRule,ST02_SEALING,TMP,,CRIT_LO,E-STOP ST02/ST03/ST04; inspect element,,210,,165,165,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
ST02_SEALING-PRS,ThresholdRule,ST02_SEALING,PRS,,CRIT_LO,Inspect and notify maintenance,,6.2,5.7,4.2,4.2,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,pre_act,1,mistralai-mistral-7b-instruct-v0_3_pre_act_run1,1,False
