ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,langgraph_iterations
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW_FlowRate,,MUST be maintained between,,,128,112,,,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,langgraph,2,mistralai-mistral-7b-instruct-v0_3_langgraph_run1,3,False,3
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP_Temperature,,If exceeds,reduce speed by 10% and notify QC.,,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,langgraph,2,mistralai-mistral-7b-instruct-v0_3_langgraph_run1,3,False,3
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS_Pressure,,PRS drop below,inspect inlet valve within 5 min.,,3.3,,,,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,langgraph,2,mistralai-mistral-7b-instruct-v0_3_langgraph_run1,3,False,3
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP_Temperature,,TMP MUST remain between,,,195,175,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,langgraph,2,mistralai-mistral-7b-instruct-v0_3_langgraph_run1,3,False,3
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP_Temperature,,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04.",,CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,langgraph,2,mistralai-mistral-7b-instruct-v0_3_langgraph_run1,3,False,3
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR_Current,,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance.,,,,1.5,,,A,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,langgraph,2,mistralai-mistral-7b-instruct-v0_3_langgraph_run1,3,False,3
RULE-ST02-04,OperationalRule,ST02_SEALING,CUR_Current,,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,WARNING,,,,,A,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,langgraph,2,mistralai-mistral-7b-instruct-v0_3_langgraph_run1,3,False,3
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN_Force,,TEN MUST be between,,,2.6,1.8,,,N,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,langgraph,2,mistralai-mistral-7b-instruct-v0_3_langgraph_run1,3,False,3
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT_Count,,CNT below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt.,,,100,110,,,pcs/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,langgraph,2,mistralai-mistral-7b-instruct-v0_3_langgraph_run1,3,False,3
RULE-ST03-03,AnomalyRule,ST03_LABELLING,TEN_Force,,TEN STUCK >10 consecutive samples - sensor failure.,,,,,,,N,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,langgraph,2,mistralai-mistral-7b-instruct-v0_3_langgraph_run1,3,False,3
