semantic_weight,threshold,condition,runs,f1
0.4,0.4,grid_cot_basic,5,0.8948
0.4,0.4,grid_reflexion_guided,5,0.9534
0.4,0.4,pipeline_no_schema,5,0.793
0.4,0.4,regex_parser,1,0.771
0.4,0.45,grid_cot_basic,5,0.8948
0.4,0.45,grid_reflexion_guided,5,0.9534
0.4,0.45,pipeline_no_schema,5,0.793
0.4,0.45,regex_parser,1,0.771
0.4,0.5,grid_cot_basic,5,0.8948
0.4,0.5,grid_reflexion_guided,5,0.9534
0.4,0.5,pipeline_no_schema,5,0.774
0.4,0.5,regex_parser,1,0.771
0.4,0.55,grid_cot_basic,5,0.8948
0.4,0.55,grid_reflexion_guided,5,0.9534
0.4,0.55,pipeline_no_schema,5,0.747
0.4,0.55,regex_parser,1,0.771
0.4,0.6,grid_cot_basic,5,0.8948
0.4,0.6,grid_reflexion_guided,5,0.9486
0.4,0.6,pipeline_no_schema,5,0.747
0.4,0.6,regex_parser,1,0.771
0.4,0.65,grid_cot_basic,5,0.8924
0.4,0.65,grid_reflexion_guided,5,0.9462
0.4,0.65,pipeline_no_schema,5,0.737
0.4,0.65,regex_parser,1,0.771
0.4,0.7,grid_cot_basic,5,0.8924
0.4,0.7,grid_reflexion_guided,5,0.9316
0.4,0.7,pipeline_no_schema,5,0.706
0.4,0.7,regex_parser,1,0.657
0.4,0.75,grid_cot_basic,5,0.8876
0.4,0.75,grid_reflexion_guided,5,0.9168
0.4,0.75,pipeline_no_schema,5,0.636
0.4,0.75,regex_parser,1,0.614
0.4,0.8,grid_cot_basic,5,0.8698
0.4,0.8,grid_reflexion_guided,5,0.8998
0.4,0.8,pipeline_no_schema,5,0.6082
0.4,0.8,regex_parser,1,0.571
0.5,0.4,grid_cot_basic,5,0.8948
0.5,0.4,grid_reflexion_guided,5,0.9534
0.5,0.4,pipeline_no_schema,5,0.793
0.5,0.4,regex_parser,1,0.771
0.5,0.45,grid_cot_basic,5,0.8948
0.5,0.45,grid_reflexion_guided,5,0.9534
0.5,0.45,pipeline_no_schema,5,0.793
0.5,0.45,regex_parser,1,0.771
0.5,0.5,grid_cot_basic,5,0.8948
0.5,0.5,grid_reflexion_guided,5,0.9534
0.5,0.5,pipeline_no_schema,5,0.774
0.5,0.5,regex_parser,1,0.771
0.5,0.55,grid_cot_basic,5,0.8948
0.5,0.55,grid_reflexion_guided,5,0.9486
0.5,0.55,pipeline_no_schema,5,0.737
0.5,0.55,regex_parser,1,0.771
0.5,0.6,grid_cot_basic,5,0.8948
0.5,0.6,grid_reflexion_guided,5,0.9486
0.5,0.6,pipeline_no_schema,5,0.737
0.5,0.6,regex_parser,1,0.771
0.5,0.65,grid_cot_basic,5,0.8924
0.5,0.65,grid_reflexion_guided,5,0.9462
0.5,0.65,pipeline_no_schema,5,0.719
0.5,0.65,regex_parser,1,0.771
0.5,0.7,grid_cot_basic,5,0.8924
0.5,0.7,grid_reflexion_guided,5,0.9242
0.5,0.7,pipeline_no_schema,5,0.682
0.5,0.7,regex_parser,1,0.714
0.5,0.75,grid_cot_basic,5,0.8876
0.5,0.75,grid_reflexion_guided,5,0.912
0.5,0.75,pipeline_no_schema,5,0.636
0.5,0.75,regex_parser,1,0.614
0.5,0.8,grid_cot_basic,5,0.849
0.5,0.8,grid_reflexion_guided,5,0.8634
0.5,0.8,pipeline_no_schema,5,0.5936
0.5,0.8,regex_parser,1,0.571
0.6,0.4,grid_cot_basic,5,0.8948
0.6,0.4,grid_reflexion_guided,5,0.9534
0.6,0.4,pipeline_no_schema,5,0.793
0.6,0.4,regex_parser,1,0.771
0.6,0.45,grid_cot_basic,5,0.8948
0.6,0.45,grid_reflexion_guided,5,0.9534
0.6,0.45,pipeline_no_schema,5,0.793
0.6,0.45,regex_parser,1,0.771
0.6,0.5,grid_cot_basic,5,0.8948
0.6,0.5,grid_reflexion_guided,5,0.9534
0.6,0.5,pipeline_no_schema,5,0.756
0.6,0.5,regex_parser,1,0.771
0.6,0.55,grid_cot_basic,5,0.8948
0.6,0.55,grid_reflexion_guided,5,0.9486
0.6,0.55,pipeline_no_schema,5,0.7334
0.6,0.55,regex_parser,1,0.771
0.6,0.6,grid_cot_basic,5,0.8924
0.6,0.6,grid_reflexion_guided,5,0.9486
0.6,0.6,pipeline_no_schema,5,0.719
0.6,0.6,regex_parser,1,0.771
0.6,0.65,grid_cot_basic,5,0.8924
0.6,0.65,grid_reflexion_guided,5,0.9414
0.6,0.65,pipeline_no_schema,5,0.71
0.6,0.65,regex_parser,1,0.771
0.6,0.7,grid_cot_basic,5,0.8924
0.6,0.7,grid_reflexion_guided,5,0.9218
0.6,0.7,pipeline_no_schema,5,0.673
0.6,0.7,regex_parser,1,0.743
0.6,0.75,grid_cot_basic,5,0.8746
0.6,0.75,grid_reflexion_guided,5,0.8854
0.6,0.75,pipeline_no_schema,5,0.6268
0.6,0.75,regex_parser,1,0.657
0.6,0.8,grid_cot_basic,5,0.8184
0.6,0.8,grid_reflexion_guided,5,0.839
0.6,0.8,pipeline_no_schema,5,0.5438
0.6,0.8,regex_parser,1,0.571
0.7,0.4,grid_cot_basic,5,0.8974
0.7,0.4,grid_reflexion_guided,5,0.9534
0.7,0.4,pipeline_no_schema,5,0.7794
0.7,0.4,regex_parser,1,0.771
0.7,0.45,grid_cot_basic,5,0.8948
0.7,0.45,grid_reflexion_guided,5,0.9534
0.7,0.45,pipeline_no_schema,5,0.774
0.7,0.45,regex_parser,1,0.771
0.7,0.5,grid_cot_basic,5,0.8948
0.7,0.5,grid_reflexion_guided,5,0.9486
0.7,0.5,pipeline_no_schema,5,0.743
0.7,0.5,regex_parser,1,0.771
0.7,0.55,grid_cot_basic,5,0.8948
0.7,0.55,grid_reflexion_guided,5,0.9486
0.7,0.55,pipeline_no_schema,5,0.7244
0.7,0.55,regex_parser,1,0.771
0.7,0.6,grid_cot_basic,5,0.8924
0.7,0.6,grid_reflexion_guided,5,0.9486
0.7,0.6,pipeline_no_schema,5,0.719
0.7,0.6,regex_parser,1,0.771
0.7,0.65,grid_cot_basic,5,0.8924
0.7,0.65,grid_reflexion_guided,5,0.9314
0.7,0.65,pipeline_no_schema,5,0.71
0.7,0.65,regex_parser,1,0.771
0.7,0.7,grid_cot_basic,5,0.8822
0.7,0.7,grid_reflexion_guided,5,0.9146
0.7,0.7,pipeline_no_schema,5,0.6748
0.7,0.7,regex_parser,1,0.757
0.7,0.75,grid_cot_basic,5,0.8568
0.7,0.75,grid_reflexion_guided,5,0.8538
0.7,0.75,pipeline_no_schema,5,0.6124
0.7,0.75,regex_parser,1,0.714
0.7,0.8,grid_cot_basic,5,0.785
0.7,0.8,grid_reflexion_guided,5,0.815
0.7,0.8,pipeline_no_schema,5,0.483
0.7,0.8,regex_parser,1,0.614
0.8,0.4,grid_cot_basic,5,0.8998
0.8,0.4,grid_reflexion_guided,5,0.9534
0.8,0.4,pipeline_no_schema,5,0.793
0.8,0.4,regex_parser,1,0.771
0.8,0.45,grid_cot_basic,5,0.8998
0.8,0.45,grid_reflexion_guided,5,0.9534
0.8,0.45,pipeline_no_schema,5,0.774
0.8,0.45,regex_parser,1,0.771
0.8,0.5,grid_cot_basic,5,0.8948
0.8,0.5,grid_reflexion_guided,5,0.9486
0.8,0.5,pipeline_no_schema,5,0.741
0.8,0.5,regex_parser,1,0.771
0.8,0.55,grid_cot_basic,5,0.8924
0.8,0.55,grid_reflexion_guided,5,0.9486
0.8,0.55,pipeline_no_schema,5,0.728
0.8,0.55,regex_parser,1,0.771
0.8,0.6,grid_cot_basic,5,0.8924
0.8,0.6,grid_reflexion_guided,5,0.9414
0.8,0.6,pipeline_no_schema,5,0.71
0.8,0.6,regex_parser,1,0.771
0.8,0.65,grid_cot_basic,5,0.8898
0.8,0.65,grid_reflexion_guided,5,0.9218
0.8,0.65,pipeline_no_schema,5,0.6892
0.8,0.65,regex_parser,1,0.771
0.8,0.7,grid_cot_basic,5,0.8672
0.8,0.7,grid_reflexion_guided,5,0.8782
0.8,0.7,pipeline_no_schema,5,0.6232
0.8,0.7,regex_parser,1,0.771
0.8,0.75,grid_cot_basic,5,0.8414
0.8,0.75,grid_reflexion_guided,5,0.8344
0.8,0.75,pipeline_no_schema,5,0.5584
0.8,0.75,regex_parser,1,0.729
0.8,0.8,grid_cot_basic,5,0.7546
0.8,0.8,grid_reflexion_guided,5,0.7598
0.8,0.8,pipeline_no_schema,5,0.3392
0.8,0.8,regex_parser,1,0.643
