ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,STATION,ST01,FLW,Flow,MUST_BE_BETWEEN,,,,,,,L/min,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,cot_structured,1,deepseek-r1-distill-qwen-7b_cot_structured_run1,1,False
RULE-ST01-02,STATION,ST01,TMP,Temperature,EXCEEDS,reduce_speed_by_10%,,,,26,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,cot_structured,1,deepseek-r1-distill-qwen-7b_cot_structured_run1,1,False
RULE-ST02-01,STATION,ST02,TMP,Temperature,MUST_BE_BETWEEN,,,,,,,°C,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,cot_structured,1,deepseek-r1-distill-qwen-7b_cot_structured_run1,1,False
RULE-ST02-02,STATION,ST02,TMP,Temperature,EXCEEDS,,,,,,210.0,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,cot_structured,1,deepseek-r1-distill-qwen-7b_cot_structured_run1,1,False
RULE-ST02-03,STATION,ST02,CUR,Current,DRIFT,,,,,1.5_>5,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,cot_structured,1,deepseek-r1-distill-qwen-7b_cot_structured_run1,1,False
RULE-ST02-04,STATION,ST02,TMP,Temperature,CORRELATES,,,,,,5.0,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,cot_structured,1,deepseek-r1-distill-qwen-7b_cot_structured_run1,1,False
RULE-ST03-01,STATION,ST03,TEN,Tension,MUST_BE_BETWEEN,,,,,,,N,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,cot_structured,1,deepseek-r1-distill-qwen-7b_cot_structured_run1,1,False
RULE-ST03-02,STATION,ST03,CNT,Counts,BELOW,,,,,110.0,100.0,pcs/min,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,cot_structured,1,deepseek-r1-distill-qwen-7b_cot_structured_run1,1,False
RULE-ST03-03,STATION,ST03,TEN,Tension,STUCK,,,,,,10.0,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,cot_structured,1,deepseek-r1-distill-qwen-7b_cot_structured_run1,1,False
RULE-ST04-01,STATION,ST04,VIB,Vibration,EXCEEDS,,,0.35,0.2,,,mm/s,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,cot_structured,1,deepseek-r1-distill-qwen-7b_cot_structured_run1,1,False
