ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,critLo,warnLo,unit,source
RULE-ST01-01,OperationalRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW MUST be maintained between 112 and 128 L/min,Inspect and notify maintenance,MANDATORY,135.0,128.0,105.0,112.0,L/min,SOP-001
RULE-ST01-02,OperationalRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP exceeds 26°C,Reduce speed by 10% and notify QC,WARNING,30.0,26.0,15.0,18.0,°C,SOP-001
RULE-ST01-03,OperationalRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS drop below 3.3 bar,Inspect inlet valve within 5 min,WARNING,4.8,4.2,3.0,3.3,bar,SOP-001
RULE-ST02-01,OperationalRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP MUST remain between 175°C and 195°C,Inspect and notify maintenance,MANDATORY,210.0,195.0,165.0,175.0,°C,SOP-001
RULE-ST02-02,OperationalRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP > 210°C (CRITICAL),"Emergency stop ST02, ST03, ST04",CRITICAL,210.0,195.0,165.0,175.0,°C,SOP-001
RULE-ST02-03,OperationalRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR increase >1.5 A above nominal sustained >5 min,Schedule maintenance,WARNING,15.0,13.5,9.5,11.0,A,SOP-001
RULE-ST02-04,OperationalRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers WARNING,WARNING,15.0,13.5,9.5,11.0,A,SOP-001
RULE-ST03-01,OperationalRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN MUST be between 1.8 and 2.6 N,Inspect and notify maintenance,MANDATORY,3.0,2.6,1.5,1.8,N,SOP-001
RULE-ST03-02a,OperationalRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT below 110 pcs/min,Check for label jam,WARNING,140,130,100,110,pcs/min,SOP-001
RULE-ST03-02b,OperationalRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT below 100 pcs/min (CRITICAL),Halt labelling; inspect label path,CRITICAL,140,130,100,110,pcs/min,SOP-001
RULE-ST03-03,OperationalRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN STUCK >10 consecutive samples,Sensor failure — replace sensor,CRITICAL,3.0,2.6,1.5,1.8,N,SOP-001
RULE-ST04-01,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.20 mm/s (WARNING),Schedule maintenance within 24 h,WARNING,0.35,0.20,0.01,0.02,mm/s,SOP-001
RULE-ST04-02,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.35 mm/s (CRITICAL),Emergency stop; inspect bearings,CRITICAL,0.35,0.20,0.01,0.02,mm/s,SOP-001
RULE-ST04-03,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,SPD drops below 1.00 m/s without operator command,Verify RULE-ST02-04 (electrical coupling with ST02_SEALING_CUR),WARNING,1.6,1.4,1.25,1.0,m/s,SOP-001
RULE-SRV01-01,OperationalRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP MUST NOT exceed 25°C,Inspect and notify maintenance,MANDATORY,28.0,25.0,16.0,18.0,°C,SOP-001
