ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,desc
RULE-ST01-01,ThresholdRule,ST01,ST01_AVIARY_LUX,AVIARY,>,event,,,128,112,,lv,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,FLW must be between 112 and 128 L/min
RULE-ST01-02,ThresholdRule,ST01,ST01_NIGHTDEN_TEMP,NIGHTDEN,>,reduce_speed_notify_qc,,,26,0,,C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,"If TMP exceeds 26°C, reduce speed by 10% and notify QC"
RULE-ST01-03,EventRule,ST01,ST01_FALL_PRESS,PRES,<,inspect_inlet_valve,,,,3.3,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,PRS drop below 3.3 bar - inspect inlet valve within 5 min
RULE-ST02-01,ThresholdRule,ST02,ST02_SEALING_TEMP,SEALING,between,maintain_pressure,,195,210,0,175,C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,TMP MUST remain between 175°C and 195°C
RULE-ST02-02,ThresholdRule,ST02,ST02_SEALING_TEMP,SEALING,>,emergency_stop,CRITICAL,210,195,0,,C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,"TMP > 210°C is critical - emergency stop ST02, ST03, ST04"
RULE-ST02-03,TrendRule,ST02,ST02_SEALING_CURRENT,CURRENT,>,schedule_maintenance,,1.5,0,0,0,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance
RULE-ST02-04,EventCorrelation,ST02,ST02_SEALING_CURRENT,CURRENT,>,monitor_st04_spd,,0,0,0,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,CUR drift correlates with speed reduction at downstream stations
RULE-ST03-01,ThresholdRule,ST03,ST03_LABELLING_TEN,TEN,between,maintain_pressure,,2.6,0,0,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,TEN must be between 1.8 and 2.6 N
RULE-ST03-02,ThresholdRule,ST03,ST03_LABELLING_CNT,CNT,<,check_label_jam,CRITICAL,100,110,0,0,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,"Below 110 pcs/min is warning, below 100 (critical) halts the line"
RULE-ST03-03,EventRule,ST03,ST03_LABELLING_tEN_STUCK,STUCK_TEN,>,sensor_failure,,10,0,0,,consecutive_samples,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,graph_informed,0,nemotron-3-nano-30b_graph_informed_ctexts_s42_run5,1,False,TEN STUCK >10 consecutive samples indicates sensor failure
