ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,Range,ST01_FILLING,Flow,L/min,,,,128,128,,112,L/min,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-ST01-02,Temperature,ST01_FILLING,Temperature,,exceeds 26°C,reduce speed by 10%,High,,,,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-ST01-03,Pressure,ST01_FILLING,Pressure,bar,<3.3 bar,inspect inlet valve within 5 min,,,,,3.3,bar,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-ST02-01,Temperature,ST02_SEALING,Temperature,,between 175°C and 195°C,,,195,,,175,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-ST02-02,Temperature,ST02_SEALING,Temperature,,>210°C (CRITICAL),"emergency stop ST02, ST03, ST04",High,,,210,,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-ST02-03,Current,ST02_SEALING,Current,A,>1.5 A above nominal sustained >5 min,schedule maintenance,High,,1.5,,,A,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-ST02-04,Current,ST02_SEALING,Current,A,>1.5 A above nominal sustained >5 min,schedule maintenance,High,,1.5,,,A,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-ST03-01,Tension,ST03_LABELLING,Tension,,between 1.8 and 2.6 N,,,,,,1.8,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-ST03-02,Rate of Production,ST03_LABELLING,Production Rate,,<110 pcs/min - check for label jam. Below 100 (CRITICAL): halt.,,High,,,100,110,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-ST03-03,Tension,ST03_LABELLING,Tension,,>ten consecutive samples - sensor failure.,,,,,,10,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-ST04-01,Vibration,ST04_PACKAGING,Vibration,mm/s,>0.20 mm/s (WARNING),schedule maintenance within 24 h.,High,,0.2,,,mm/s,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-ST04-02,Vibration,ST04_PACKAGING,Vibration,mm/s,>0.35 mm/s (CRITICAL),emergency stop; inspect bearings.,High,,0.35,,,mm/s,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-ST04-03,Speed,ST04_PACKAGING,Speed,m/s,<1.00 m/s without operator command - verify RULE-ST02-04.,,,,,1.0,,m/s,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-SRV01-01,Temperature,SRV01_SERVERROOM,Temperature,,exceeds 25°C. Critical above 28°C - automatic shutdown.,,High,,25,,28,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-WRH01-01,Temperature,WRH01_WAREHOUSE,Temperature,,"between 0.5°C and 8°C. Critical above 12°C - notify QC, quarantine batch.",,High,,8,,12,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-CHM01-01,Temperature,CHM01_CHEMICALSTORAGE,Temperature,,between 10°C and 20°C. Critical above 25°C - activate ventilation.,,High,,20,,25,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-RND01-01,Temperature,RND01_RDLAB,Temperature,,between 18°C and 26°C for experimental validity. Critical above 26°C - suspend experiments.,,High,,26,,27,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RULE-CAF01-01,Temperature,CAF01_CAFETERIA,Temperature,,above 26°C - check ventilation system.,,High,,26,,27,,SOP_001_OperatingProcedures.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
MAINT-01,Predictive Maintenance Rule,ST04_PACKAGING,VIB,,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing,HIGH,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
MAINT-02,Predictive Maintenance Rule,ST02_SEALING,CUR,,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
MAINT-03,Predictive Maintenance Rule,ST03_LABELLING,TEN,,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
MAINT-04,Predictive Maintenance Rule,ST01.FILLING,PRS,,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
MAINT-05,Predictive Maintenance Rule,SRV01_SERVERROOM,TMP,,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
MAINT-06,Predictive Maintenance Rule,WRH01_WAREHOUSE,TMP,,TMP DRIFT >2°C over 2 h,Inspect compressor; notify,QCRITICAL,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
MAINT-07,Predictive Maintenance Rule,CHM01_CHEMICALSTORAGE,TMP,,TMP >20°C for >10 min,Emergency ventilation; notify CRITICAL | safety,CRITICAL,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
MAINT-08,Predictive Maintenance Rule,RND01_RDLAB,HUM,,HUM DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC HIGH,HIGH,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
ST02_SEALING-CUR,Correlated Fault Resolution Rule,ST04_PACKAGING,CUR,,,Inspect sealing jaw; check if over 1.0 A for >30 min; reset PLC | Verify ST02-CUR trend; inspect sealing jaw; reset ST04,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
SRV01-TMP › → SCADA,Correlated Fault Resolution Rule,ST04_PACKAGING,TMP,,,Verify ST02-CUR trend; inspect sealing jaw; reset ST04 | Verify ST02-CUR trend; inspect sealing jaw; reset ST04,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
WRH01-TMP › → QC HOLD,Correlated Fault Resolution Rule,ST04_PACKAGING,TMP,,,Restore WRH01-TMP <8°C; notify QC; place batch on HOLD | Verify WRH01-TMP <8°C; notify QC; place batch on HOLD,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
RND01_RDLAB-HUM › → QC HOLD,Correlated Fault Resolution Rule,ST04_PACKAGING,HUM,,,Verify SCADA status; check network connectivity; restore HUM <10%RH; notify QC; place batch on HOLD | Verify SCADA status; check network connectivity; restore HUM <10%RH; notify QC; place batch on HOLD,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
ACCESS-02,ThresholdRule,,,,,Security personnel MUST be notified within 2 minutes of detection.,,2,,,,,SOP_004_PersonnelZoneAccess.txt,deepseek-r1-distill-qwen-7b,pre_act,1,deepseek-r1-distill-qwen-7b_pre_act_run1,1,False
