ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01,ST01_FILLING_TMP,temperature,MUST be maintained between 112 and 128 L/min,,,128,128,112,112,L/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run3,2,False
RULE-ST01-02,ConditionalRule,ST01,ST01_FILLING_TMP,temperature,"If TMP exceeds 26°C, reduce speed by 10% and notify QC.",reduce speed by 10% and notify QC,warning,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run3,2,False
RULE-ST01-03,ConditionalRule,ST01,ST01_FILLING_PRS,pressure,PRS drop below 3.3 bar - inspect inlet valve within 5 min.,inspect inlet valve within 5 min,critical,,,,3.3,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run3,2,False
RULE-ST02-01,ThresholdRule,ST02,ST02_SEALING_TMP,temperature,TMP MUST remain between 175°C and 195°C.,,,195,195,175,175,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run3,2,False
RULE-ST02-02,ConditionalRule,ST02,ST02_SEALING_TMP,temperature,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04.","emergency stop ST02, ST03, ST04",critical,210,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run3,2,False
RULE-ST02-04,CorrelationRule,ST02,ST02_SEALING_CUR,current,Current increase >1.5 A above nominal sustained >5 min - schedule maintenance.,,warning,,,1.5,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run3,2,False
RULE-ST03-01,ThresholdRule,ST03,ST03_LABELLING_TEN,pressure,TEN MUST be between 1.8 and 2.6 N.,,,2.6,2.6,1.8,1.8,N,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run3,2,False
RULE-ST03-02,ConditionalRule,ST03,ST03_LABELLING_CNT,count,Cnt below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt.,check for label jam; halt if below 100,critical,100,110,,100,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run3,2,False
RULE-ST03-03,ConditionalRule,ST03,ST03_LABELLING_STUCK,event,TEN STUCK >10 consecutive samples - sensor failure.,,warning,,,10,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run3,2,False
RULE-ST04-01,ThresholdRule,ST04,ST04_PACKAGING_VIB,vibration,VIB > 0.20 mm/s (WARNING) - schedule maintenance within 24 h.,,warning,,0.20,,0.20,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,react_abox,3,nemotron-3-nano-30b_react_abox_ctexts_s42_run3,2,False
