ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,,ST01_FILLING,FLW,,MUST be maintained between 112 and 128 L/min.,,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST01-02,,ST01_FILLING,TMP,,exceeds 26°C,reduce speed by 10% and notify QC.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST01-03,,ST01_FILLING,PRS,,drop below 3.3 bar,inspect inlet valve within 5 min.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST02-01,,ST02_SEALING,TMP,,MUST remain between 175°C and 195°C.,,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST02-02,,ST02_SEALING,,,TMP > 210°C (CRITICAL),"emergency stop ST02, ST03, ST04.",,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST02-03,,ST02_SEALING,CUR,,increase >1.5 A above nominal sustained >5 min,schedule maintenance.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST02-04,,ST02_SEALING,,,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling.,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-15-TMP,,ST01_FILLING,TMP,temperature,,Inspect and notify maintenance,CRITICAL,,,,15.0,°C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-3-PRS,,ST01_FILLING,PRS,pressure,,Inspect and notify maintenance,CRITICAL,,,,3.0,bar,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-105-FLW,,ST01_FILLING,FLW,flow,,Inspect and notify maintenance,CRITICAL,,,,105.0,L/min,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
