ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,,ST01_FILLING,FLW,FLOW_RATE,112 <= FLW <= 128,,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,reflexion_guided,2,llama-3_2-3b-instruct_reflexion_guided_run1,3,False
RULE-ST01-02,,ST01_FILLING,TMP,TEMPERATURE,26°C < TMP <= 195°C,reduce speed by 10% and notify QC,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,reflexion_guided,2,llama-3_2-3b-instruct_reflexion_guided_run1,3,False
RULE-ST01-03,,ST01_FILLING,PRS,PRESSURE,3.3 bar < PRS <= 4.0 bar,inspect inlet valve within 5 min,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,reflexion_guided,2,llama-3_2-3b-instruct_reflexion_guided_run1,3,False
RULE-ST02-01,,ST02_SEALING,TMP,TEMPERATURE,175°C <= TMP <= 195°C,,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,reflexion_guided,2,llama-3_2-3b-instruct_reflexion_guided_run1,3,False
RULE-ST02-02,,ST02_SEALING,TMP,TEMPERATURE,210°C < TMP (CRITICAL),"emergency stop ST02, ST03, ST04",,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,reflexion_guided,2,llama-3_2-3b-instruct_reflexion_guided_run1,3,False
RULE-ST02-03,,ST02_SEALING,CUR,CURRENT,1.5 A < CUR <= 2.0 A (sustained > 5 min),schedule maintenance,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,reflexion_guided,2,llama-3_2-3b-instruct_reflexion_guided_run1,3,False
RULE-ST02-04,,ST02_SEALING,CUR,CURRENT,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING,monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,reflexion_guided,2,llama-3_2-3b-instruct_reflexion_guided_run1,3,False
RULE-ST03-01,,ST03_LABELLING,TEN,FORCE,1.8 N <= TEN <= 2.6 N,,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,reflexion_guided,2,llama-3_2-3b-instruct_reflexion_guided_run1,3,False
RULE-ST03-02,,ST03_LABELLING,CNT,COUNT,110 pcs/min <= CNT < 100 (CRITICAL),check for label jam. Below 100: halt.,,,,,,,SOP_001_OperatingProcedures.txt,llama-3.2-3b-instruct,reflexion_guided,2,llama-3_2-3b-instruct_reflexion_guided_run1,3,False
SOP-002-01,ThresholdRule,ST01_FILLING,TMP_FILLING,TMP,CRIT_LO,Notify maintenance team of low temperature (15.0°C),,30.0,26.0,18.0,15.0,°C,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,reflexion_guided,2,llama-3_2-3b-instruct_reflexion_guided_run1,3,False
SOP-002-02,ThresholdRule,ST01_FILLING,PRS_FILLING,PRS,CRIT_LO,Notify maintenance team of low pressure (3 bar),,4.8,3.2,3.3,3.0,bar,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,reflexion_guided,2,llama-3_2-3b-instruct_reflexion_guided_run1,3,False
SOP-002-03,ThresholdRule,ST01_FILLING,FLW_FILLING,FLW,CRIT_LO,Notify maintenance team of low flow rate (105 L/min),,135.0,128.0,112.0,105.0,L/min,SOP_002_AlarmThresholds.txt,llama-3.2-3b-instruct,reflexion_guided,2,llama-3_2-3b-instruct_reflexion_guided_run1,3,False
