ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,OperationalRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW MUST be maintained between 112 and 128 L/min,Maintain flow within specified range,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST01-02,OperationalRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP exceeds 26°C,Reduce speed by 10% and notify QC,WARNING,,,,,C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST01-03,OperationalRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS drop below 3.3 bar,Inspect inlet valve within 5 min,WARNING,,,,,bar,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST02-01,OperationalRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP MUST remain between 175°C and 195°C,Maintain temperature within specified range,MANDATORY,,,,,C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP > 210°C (CRITICAL),"Emergency stop ST02, ST03, ST04",CRITICAL,210.0,,,,C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST02-03,OperationalRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR increase >1.5 A above nominal sustained >5 min,Schedule maintenance,WARNING,,1.5,,,A,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST02-04,OperationalRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,WARNING,,,,,,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST03-01,OperationalRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN MUST be between 1.8 and 2.6 N,Maintain tension within specified range,MANDATORY,,,,,N,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST03-02,OperationalRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt,"Check for label jam; if below 100, halt operation",CRITICAL,,110,,100,pcs/min,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST03-03,OperationalRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN STUCK >10 consecutive samples,Declare sensor failure,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.20 mm/s (WARNING),Schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB > 0.35 mm/s (CRITICAL),Emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST04-03,OperationalRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,SPD drops below 1.00 m/s without operator command,Verify RULE-ST02-04,WARNING,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-SRV01-01,OperationalRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP MUST NOT exceed 25°C,Maintain temperature below 25°C,MANDATORY,,,,,C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP > 28°C (CRITICAL),Automatic controlled shutdown of all PLC nodes,CRITICAL,28.0,,,,C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-WRH01-01,OperationalRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,TMP MUST remain between 0.5°C and 8°C,Maintain temperature within specified range,MANDATORY,,,,,C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-WRH01-02,OperationalRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,HUM above 85%RH,Inspect door seals and activate dehumidifier,WARNING,,85.0,,,RH,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,TMP above 25°C (CRITICAL),Activate emergency ventilation and notify safety officer immediately,CRITICAL,25.0,,,,C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,HUM,HUM > 45%RH,Activate desiccant system,WARNING,45.0,,,,RH,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-CHM01-03,OperationalRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_ACCESS,UNAUTHORIZED_ACCESS,UNAUTHORIZED_ACCESS must be escalated within 2 minutes,Escalate unauthorized access within 2 minutes,CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-RND01-01,OperationalRule,RND01_RDLAB,RND01_RDLAB_TMP,TMP,TMP MUST remain between 18°C and 26°C for experimental validity,Maintain temperature within specified range,MANDATORY,,,,,C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,HUM drift above 65%RH,Activate dehumidifier,WARNING,65.0,,,,RH,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-RND01-03,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,HUM above 75%RH (CRITICAL),Suspend sensitive experiments and inspect HVAC system,CRITICAL,75.0,,,,RH,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-CAF01-01,OperationalRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,TMP,TMP above 26°C,Check ventilation system,WARNING,,26.0,,,C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-CAF01-02,OperationalRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,HUM,HUM above 70%RH,Inspect drainage and activate ventilation,WARNING,,70.0,,,RH,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST01-TMP-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,TMP,TMP critical thresholds for ST01_FILLING,Inspect and notify maintenance,CRITICAL,30.0,26.0,18.0,15.0,C,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST01-PRS-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,PRS,PRS critical thresholds for ST01_FILLING,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3.0,bar,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST01-FLW-CRIT,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FLW,FLW critical thresholds for ST01_FILLING,Inspect and notify maintenance,CRITICAL,135.0,128.0,112.0,105.0,L/min,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST02-TMP-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,TMP,TMP critical thresholds for ST02_SEALING,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210.0,195.0,175.0,165.0,C,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST02-PRS-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_PRS,PRS,PRS critical thresholds for ST02_SEALING,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST02-CUR-CRIT,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,CUR,CUR critical thresholds for ST02_SEALING,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15.0,13.5,11.0,9.5,A,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST03-SPD-CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_SPD,SPD,SPD critical thresholds for ST03_LABELLING,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST03-TEN-CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,TEN,TEN critical thresholds for ST03_LABELLING,Inspect and notify maintenance,CRITICAL,3.0,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST03-CNT-CRIT,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,CNT,CNT critical thresholds for ST03_LABELLING,E-STOP labelling; inspect label path,CRITICAL,140.0,130.0,110.0,100.0,pcs/min,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST04-VIB-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,VIB,VIB critical thresholds for ST04_PACKAGING,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST04-CUR-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_CUR,CUR,CUR critical thresholds for ST04_PACKAGING,Inspect and notify maintenance,CRITICAL,11.0,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-ST04-SPD-CRIT,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_SPD,SPD,SPD critical thresholds for ST04_PACKAGING,Inspect and notify maintenance,CRITICAL,1.6,1.4,1.0,0.85,m/s,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-SRV01-TMP-CRIT,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_TMP,TMP,TMP critical thresholds for SRV01_SERVERROOM,Activate backup cooling; prepare controlled PLC,CRITICAL,28.0,25.0,18.0,16.0,C,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-SRV01-HUM-CRIT,ThresholdRule,SRV01_SERVERROOM,SRV01_SERVERROOM_HUM,HUM,HUM critical thresholds for SRV01_SERVERROOM,Inspect and notify maintenance,CRITICAL,70.0,60.0,30.0,25.0,%RH,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-WRH01-TMP-CRIT,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_TMP,TMP,TMP critical thresholds for WRH01_WAREHOUSE,Activate backup refrigeration; notify,CRITICAL,12.0,8.0,0.5,-1.0,C,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-WRH01-HUM-CRIT,ThresholdRule,WRH01_WAREHOUSE,WRH01_WAREHOUSE_HUM,HUM,HUM critical thresholds for WRH01_WAREHOUSE,Inspect and notify maintenance,CRITICAL,90.0,85.0,60.0,55.0,%RH,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-CHM01-TMP-CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_TMP,TMP,TMP critical thresholds for CHM01_CHEMICALSTORAGE,Activatemergency ventilation; notify safety officer,CRITICAL,25.0,20.0,10.0,5.0,C,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-CHM01-HUM-CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,CHM01_CHEMICALSTORAGE_HUM,HUM,HUM critical thresholds for CHM01_CHEMICALSTORAGE,Activate desiccant system; inspect storage containers,CRITICAL,60.0,50.0,20.0,15.0,%RH,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-RND01-TMP-CRIT,ThresholdRule,RND01_RDLAB,RND01_RDLAB_TMP,TMP,TMP critical thresholds for RND01_RDLAB,Inspect and notify maintenance,CRITICAL,30.0,26.0,18.0,15.0,C,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-RND01-HUM-CRIT,ThresholdRule,RND01_RDLAB,RND01_RDLAB_HUM,HUM,HUM critical thresholds for RND01_RDLAB,Suspend experiments; inspect HVAC system,CRITICAL,75.0,65.0,35.0,25.0,%RH,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-CAF01-TMP-CRIT,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_TMP,TMP,TMP critical thresholds for CAF01_CAFETERIA,Inspect and notify maintenance,CRITICAL,30.0,26.0,17.0,14.0,C,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
RULE-CAF01-HUM-CRIT,ThresholdRule,CAF01_CAFETERIA,CAF01_CAFETERIA_HUM,HUM,HUM critical thresholds for CAF01_CAFETERIA,Inspect and notify maintenance,CRITICAL,80.0,70.0,35.0,25.0,%RH,SOP_002_AlarmThresholds.txt,qwen/qwen3-4b-2507,few_shot_static,0,qwen-qwen3-4b-2507_few_shot_static_s42_run1,1,False
