ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,,ST01_FILLING,FLW,,MUST be maintained between 112 and 128 L/min.,,,,,,,L/min,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST01-02,,ST01_FILLING,TMP,,"If TMP exceeds 26°C, reduce speed by 10% and notify QC.",,,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST01-03,,ST01_FILLING,PRS,,PRS drop below 3.3 bar - inspect inlet valve within 5 min.,,,,,,3.3,bar,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST02-01,,ST02_SEALING,TMP,,TMP MUST remain between 175°C and 195°C.,,,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST02-02,,ST02_SEALING,,,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04.",,,210,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST02-03,,ST02_SEALING,CUR,,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance.,,,,,,,A,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST02-04,,ST02_SEALING,,,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST03-01,,ST03_LABELLING,TEN,,TEN MUST be between 1.8 and 2.6 N.,,,,,,,N,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST03-02,,ST03_LABELLING,CNT,,CNT below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt.,,,,,100,,pcs/min,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST03-03,,ST03_LABELLING,TEN,,TEN STUCK >10 consecutive samples - sensor failure.,,,,,,10,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST04-01,,ST04_PACKAGING,VIB,,VIB > 0.20 mm/s (WARNING) - schedule maintenance within 24 h.,,,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST04-02,,ST04_PACKAGING,VIB,,VIB > 0.35 mm/s (CRITICAL) - emergency stop; inspect bearings.,,,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-ST04-03,,ST04_PACKAGING,SPD,,SPD drops below 1.00 m/s without operator command - verify RULE-ST02-04.,,,,,,1.00,m/s,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-SRV01-01,,SRV01_SERVERROOM,TMP,,TMP MUST NOT exceed 25°C.,,,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-SRV01-02,,SRV01_SERVERROOM,TMP,,TMP > 28°C (CRITICAL) - automatic controlled shutdown of all PLC nodes.,,,28,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-WRH01-01,,WRH01_WAREHOUSE,TMP,,TMP MUST remain between 0.5°C and 8°C.,,,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-WRH01-02,,WRH01_WAREHOUSE,HUM,,HUM above 85%RH - inspect door seals and activate dehumidifier.,,,,,,,%RH,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-WRH01-03,,WRH01_WAREHOUSE,TMP,,CRITICAL above 12°C - notify QC and quarantine batch.,,,12,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-CHM01-01,,CHM01_CHEMICALSTORAGE,TMP,,TMP MUST remain between 10°C and 20°C.,,,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-CHM01-02,,CHM01_CHEMICALSTORAGE,HUM,,CRITICAL above 25°C - activate emergency ventilation and notify safety officer immediately. HUM MUST NOT exceed 50%RH. Activate desiccant system if HUM >45%RH.,,,25,,45,50,%RH,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-CHM01-03,,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,,Only personnel with hazmat training (technician/supervisor/manager role) are authorised to enter Chemical Storage. UNAUTHORIZED_ACCESS must be escalated within 2 minutes.,,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-RND01-01,,RND01_RDLAB,TMP,,TMP MUST remain between 18°C and 26°C for experimental validity.,,,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-RND01-02,,RND01_RDLAB,HUM,,DRIFT above 65%RH - activate dehumidifier. Above 75%RH (CRITICAL) - suspend sensitive experiments and inspect HVAC system.,,,75,65,,,%RH,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-CAF01-01,,CAF01_CAFETERIA,TMP,,TMP above 26°C - check ventilation system. Occupant comfort is the primary criterion.,,,,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-CAF01-02,,CAF01_CAFETERIA,HUM,,above 70%RH - inspect drainage and activate ventilation.,,,,,,,%RH,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-DEPENDENCY-01,DependencyRule,ST02_SEALING,,,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04.",Emergency stop and notify QC,Critical,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-DEPENDENCY-02,DependencyRule,SRV01_SERVERROOM,TMP,,TMP > 28°C (CRITICAL) - automatic controlled shutdown of all PLC nodes.,Automatic shutdown and notify maintenance,Critical,28,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-DEPENDENCY-03,DependencyRule,WRH01_WAREHOUSE,TMP,,CRITICAL above 12°C - notify QC and quarantine batch.,Notify QC and quarantine batch,Critical,12,,,,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-DEPENDENCY-04,DependencyRule,WRH01_WAREHOUSE,HUM,,HUM above 85%RH - inspect door seals and activate dehumidifier.,Inspect door seals and activate dehumidifier,Warning,,85,,,%RH,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-DEPENDENCY-05,DependencyRule,CHM01_CHEMICALSTORAGE,HUM,,HUM > 45%RH - activate desiccant system.,Activate desiccant system,Warning,,45,,,%RH,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-DEPENDENCY-06,DependencyRule,RND01_RDLAB,HUM,,Above 75%RH (CRITICAL) - suspend sensitive experiments and inspect HVAC system.,Suspend sensitive experiments and inspect HVAC system,Critical,75,65,,,%RH,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
RULE-DEPENDENCY-07,DependencyRule,CAF01_CAFETERIA,HUM,,above 70%RH - inspect drainage and activate ventilation.,Inspect drainage and activate ventilation,Warning,,70,,,%RH,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-1,,ST01_FILLING,TMP,temperature,,Inspect and notify maintenance,CRITICAL,,,18.0,15.0,°C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-2,,ST01_FILLING,PRS,pressure,,Inspect and notify maintenance,CRITICAL,,,3.3,3.0,bar,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-3,,ST01_FILLING,FLW,flow,,Inspect and notify maintenance,CRITICAL,,,112.0,105.0,L/min,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-4,,ST02_SEALING,TMP,temperature,,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,,,175.0,165.0,°C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-5,,ST02_SEALING,PRS,pressure,,Inspect and notify maintenance,CRITICAL,,,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-6,,ST02_SEALING,CUR,current,,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,,,15.0,9.5,A,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-7,,ST03_LABELLING,SPD,speed,,Inspect and notify maintenance,CRITICAL,,,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-8,,ST03_LABELLING,TEN,tension,,Inspect and notify maintenance,CRITICAL,,,3.0,1.5,N,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-9,,ST03_LABELLING,CNT,count,,E-STOP labelling; inspect label path,CRITICAL,,,140.0,100.0,pcs/min,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-10,,ST04_PACKAGING,VIB,vibration,,E-STOP; inspect main bearing,CRITICAL,,,0.2,0.01,mm/s,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-11,,ST04_PACKAGING,CUR,current,,Inspect and notify maintenance,CRITICAL,,,13.5,6.5,A,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-12,,ST04_PACKAGING,SPD,speed,,Inspect and notify maintenance,CRITICAL,,,1.4,0.85,m/s,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-13,,SRV01_SERVERROOM,TMP,temperature,,Activate backup cooling; prepare controlled PLC,CRITICAL,,,28.0,16.0,°C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-14,,SRV01_SERVERROOM,HUM,humidity,,Inspect and notify maintenance,CRITICAL,,,70.0,25.0,%RH,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-15,,WRH01_WAREHOUSE,TMP,temperature,,Activate backup refrigeration; notify,CRITICAL,,,8.0,-1.0,°C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-16,,WRH01_WAREHOUSE,HUM,humidity,,Inspect and notify maintenance,CRITICAL,,,90.0,55.0,%RH,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-17,,CHM01_CHEMICALSTORAGE,TMP,temperature,,Activatemergency ventilation; notify safety officer,CRITICAL,,,25.0,5.0,°C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
SOP-002-18,,CHM01_CHEMICALSTORAGE,HUM,humidity,,Activate desiccant system; inspect storage containers,CRITICAL,,,60.0,15.0,%RH,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,reflexion_guided,2,qwen2_5-7b-instruct_reflexion_guided_run1,3,False
