ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,pattern,primaryFault,resolution,secondaryEffect
RULE-OP-ST01-FILLING-01,OperationalRule,ST01_FILLING,FLW,L/min,FLW MUST be maintained between 112 and 128 L/min,Adjust flow rate to stay within 112-128 L/min,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run4,1,False,,,,
RULE-OP-ST01-FILLING-02,OperationalRule,ST01_FILLING,TMP,°C,"If TMP exceeds 26°C, reduce speed by 10% and notify QC",Reduce line speed by 10% and notify QC,MANDATORY,26.0,26.0,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run4,1,False,,,,
RULE-OP-ST01-FILLING-03,OperationalRule,ST01_FILLING,PRS,bar,PRS drop below 3.3 bar - inspect inlet valve within 5 min,Inspect inlet valve within 5 minutes,MANDATORY,,,3.3,,bar,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run4,1,False,,,,
RULE-THR-ST02-01,ThresholdRule,ST02_SEALING,TMP,°C,TMP MUST remain between 175°C and 195°C,Maintain temperature between 175-195°C,MANDATORY,,195.0,175.0,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run4,1,False,,,,
RULE-THR-ST02-02,ThresholdRule,ST02_SEALING,TMP,°C,"TMP > 210.0°C (CRITICAL) - emergency stop ST02, ST03, ST04","Emergency stop of ST02, ST03, ST04",CRITICAL,210.0,,,,°C,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run4,1,False,,,,
RULE-THR-ST02-04,ThresholdRule,ST02_SEALING,CUR,A,CUR drift correlates with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,MANDATORY,,,,,A,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run4,1,False,,,,
RULE-OP-ST03-01,OperationalRule,ST03_LABELLING,TEN,N,TEN MUST be between 1.8 and 2.6 N,Adjust labeling parameters to keep pull force between 1.8-2.6 N,MANDATORY,,,,,,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run4,1,False,,,,
RULE-THR-ST03-02,ThresholdRule,ST03_LABELLING,CNT,pcs/min,CNT below 110 pcs/min - check for label jam. Below 100 (CRITICAL): halt,Check for label jam and halt line if count below 100 pcs/min,MANDATORY,100.0,110.0,,,pcs/min,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run4,1,False,,,,
RULE-THR-ST03-03,ThresholdRule,ST03_LABELLING,TEN_STUCK,samples,TEN STUCK >10 consecutive samples - sensor failure,Alert of sensor failure,CRITICAL,10.0,,,,samples,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run4,1,False,,,,
RULE-WARN-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,mm/s,VIB > 0.20 mm/s (WARNING) - schedule maintenance within 24 h,Schedule maintenance within 24 hours,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,nemotron-3-nano:30b,few_shot_static,0,nemotron-3-nano-30b_few_shot_static_ctexts_s42_run4,1,False,,,,
