ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,FlowRate,MUST be maintained between,,,128,,,,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,If TMP exceeds,notify QC,CRITICAL,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,PRS drop below,inspect inlet valve within 5 min.,,,,,3.3,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
RULE-ST02_SEALING-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,TMP MUST remain between,,,195,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
RULE-ST02_SEALING-02,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,TMP > 210°C (CRITICAL),"emergency stop ST02, ST03, ST04.",CRITICAL,,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
RULE-ST02_SEALING-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,CUR increase >1.5 A above nominal sustained >5 min,schedule maintenance.,,,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
RULE-ST02_SEALING-04,CorrelationRule,ST02_SEALING,,,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,,,,,,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
ST01_FILLING_TMP,ThresholdRule,ST01_FILLING,TMP,,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,15.0,15.0,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
ST01_FILLING_PRS,ThresholdRule,ST01_FILLING,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,3.0,3.0,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
ST01_FILLING_FLW,ThresholdRule,ST01_FILLING,FLW,,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,105.0,105.0,L/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
ST02_SEALING_TMP,ThresholdRule,ST02_SEALING,TMP,,CRIT_LO,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,,,165.0,165.0,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
ST02_SEALING_PRS,ThresholdRule,ST02_SEALING,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,,,4.2,4.2,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,,VIB DRIFT > 0.05 mm/s for more than 60 minutes,Inspect and lubricate bearing HIGH,HIGH,,,0.05,,mm/s,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
MAINT-02,ThresholdRule,ST02_SEALING,CUR,,CUR DRIFT > 1.0 A for more than 30 minutes,Inspect sealing jaw,HIGH,,,1.0,,A,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
MAINT-03,ThresholdRule,ST03_LABELLING,TEN,,TEN STUCK > 10 samples,Replace sensor,MEDIUM,,,10,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
MAINT-04,ThresholdRule,ST01_FILLING,PRS,,PRS < 3.3 bar for more than 15 minutes,Inspect filter and pump,MEDIUM,,,3.3,0.0,bar,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
MAINT-05,ThresholdRule,SRV01_SERVERROOM,TMP,,TMP > 25°C for more than 5 minutes,Activate secondary cooling,CRITICAL,25.0,,,,°C,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,reflexion_guided,2,mistralai-mistral-7b-instruct-v0_3_reflexion_guided_run1,3,False
