ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,,ST01_FILLING,FLW,,MUST be maintained between 112 and 128 L/min.,,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
RULE-ST01-02,,ST01_FILLING,TMP,,"If TMP exceeds 26°C, reduce speed by 10% and notify QC.",,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
RULE-ST01-03,,ST01_FILLING,PRS,,PRS drop below 3.3 bar - inspect inlet valve within 5 min.,,,,,,3.3,bar,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
RULE-ST02-01,,ST02_SEALING,TMP,,TMP MUST remain between 175°C and 195°C.,,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
RULE-ST02-02,,ST02_SEALING,,,"TMP > 210°C (CRITICAL) - emergency stop ST02, ST03, ST04.",,,,,,210,°C,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
RULE-ST02-03,,ST02_SEALING,CUR,,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance.,,,,,,1.5,A,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
RULE-ST02-04,,ST02_SEALING,CUR,,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,,,,,,SOP_001_OperatingProcedures.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
,,ST01_FILLING,TMP,Temperature,,Inspect and notify maintenance,,30,22.0,18,15,°C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
,,ST01_FILLING,PRS,Pressure,,Inspect and notify maintenance,,4.8,3.8,3.3,3,bar,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
,,ST01_FILLING,FLW,Flow,,Inspect and notify maintenance,,135,120.0,112,105,L/min,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
,,ST02_SEALING,TMP,Temperature,,E-STOP ST02/ST03/ST04; inspect element,,210,185.0,175,165,°C,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
,,ST02_SEALING,PRS,Pressure,,Inspect and notify maintenance,,6.2,5.2,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
,,ST02_SEALING,CUR,Current,,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),,15,13.5,12.4,9.5,A,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
,,ST03_LABELLING,SPD,Speed,,Inspect and notify maintenance,,1.05,0.95,0.85,0.65,m/s,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
,,ST03_LABELLING,TEN,Force,,Inspect and notify maintenance,,3,2.6,2.2,1.5,N,SOP_002_AlarmThresholds.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
MAINT-01,,ST04_PACKAGING,VIB,,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing HIGH,,,,,,,SOP_003_MaintenanceRules.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
MAINT-02,,ST02_SEALING,CUR,,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,,,,,,SOP_003_MaintenanceRules.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
MAINT-03,,ST03_LABELLING,TEN,,TEN STUCK >10 samples,Replace sensor,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
MAINT-04,,ST01_FILLING,PRS,,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,,,,,SOP_003_MaintenanceRules.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
MAINT-05,,SRV01_SERVERROOM,TMP,,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,,,,,,SOP_003_MaintenanceRules.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
MAINT-06,,WRH01_WAREHOUSE,TMP,,TMP DRIFT >2°C over 2 h,Inspect compressor; notify,QCRITICAL,,,,,,SOP_003_MaintenanceRules.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
MAINT-07,,CHM01_CHEMICALSTORAGE,TMP,,TMP >20°C for >10 min,Emergency ventilation; notify safety officer,CRITICAL,,,,,,SOP_003_MaintenanceRules.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
MAINT-08,,RND01_RDLAB,HUM,,HUM DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC drain,HIGH,,,,,,SOP_003_MaintenanceRules.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
,,,,,,,,,,,,,SOP_004_PersonnelZoneAccess.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
RULE-CHM01-03,,,,,,,,4,3,,2,,SOP_004_PersonnelZoneAccess.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
,,,,,,,,,,,,,SOP_004_PersonnelZoneAccess.txt,qwen2.5-7b-instruct,pre_act,1,qwen2_5-7b-instruct_pre_act_run1,1,False
