ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,ST01_FILLING_FLW,Flow,between 112 and 128,,,,128,112,,L/min,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,reflexion_guided,2,qwen-qwen3-4b-2507_reflexion_guided_s42_run1,3,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,ST01_FILLING_TMP,Temperature,exceeds 26°C,reduce speed by 10% and notify QC,,,26,,,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,reflexion_guided,2,qwen-qwen3-4b-2507_reflexion_guided_s42_run1,3,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,ST01_FILLING_PRS,Pressure,drops below 3.3 bar,inspect inlet valve within 5 min,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,reflexion_guided,2,qwen-qwen3-4b-2507_reflexion_guided_s42_run1,3,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,between 175°C and 195°C,,,,195,175,,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,reflexion_guided,2,qwen-qwen3-4b-2507_reflexion_guided_s42_run1,3,False
RULE-ST02-02,CriticalThresholdRule,ST02_SEALING,ST02_SEALING_TMP,Temperature,exceeds 210°C,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,reflexion_guided,2,qwen-qwen3-4b-2507_reflexion_guided_s42_run1,3,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,ST02_SEALING_CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,,,1.5,,,A,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,reflexion_guided,2,qwen-qwen3-4b-2507_reflexion_guided_s42_run1,3,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,ST02_SEALING_CUR,Current,drift correlates with speed reduction at ST04_PACKAGING,monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,reflexion_guided,2,qwen-qwen3-4b-2507_reflexion_guided_s42_run1,3,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,between 1.8 and 2.6 N,,,,2.6,1.8,,N,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,reflexion_guided,2,qwen-qwen3-4b-2507_reflexion_guided_s42_run1,3,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,ST03_LABELLING_CNT,Count,below 110 pcs/min,check for label jam,,,110,,100,pcs/min,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,reflexion_guided,2,qwen-qwen3-4b-2507_reflexion_guided_s42_run1,3,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,ST03_LABELLING_TEN,Tension,stuck >10 consecutive samples,sensor failure,,,,,,,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,reflexion_guided,2,qwen-qwen3-4b-2507_reflexion_guided_s42_run1,3,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,ST04_PACKAGING_VIB,Vibration,exceeds 0.20 mm/s,schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,qwen/qwen3-4b-2507,reflexion_guided,2,qwen-qwen3-4b-2507_reflexion_guided_s42_run1,3,False
