file_name,semantic_weight,numeric_weight,threshold,content_f1,content_pr,content_re
baseline_b0.csv,0.4,0.6,0.4,0.771,1.0,0.628
baseline_b0.csv,0.4,0.6,0.45,0.771,1.0,0.628
baseline_b0.csv,0.4,0.6,0.5,0.771,1.0,0.628
baseline_b0.csv,0.4,0.6,0.55,0.771,1.0,0.628
baseline_b0.csv,0.4,0.6,0.6,0.771,1.0,0.628
baseline_b0.csv,0.4,0.6,0.65,0.771,1.0,0.628
baseline_b0.csv,0.4,0.6,0.7,0.657,0.852,0.535
baseline_b0.csv,0.4,0.6,0.75,0.614,0.796,0.5
baseline_b0.csv,0.4,0.6,0.8,0.571,0.741,0.465
ext_gemma4-31b_cot_basic_ctexts_s42_run1_20260804_103635.csv,0.4,0.6,0.4,0.904,1.0,0.826
ext_gemma4-31b_cot_basic_ctexts_s42_run1_20260804_103635.csv,0.4,0.6,0.45,0.904,1.0,0.826
ext_gemma4-31b_cot_basic_ctexts_s42_run1_20260804_103635.csv,0.4,0.6,0.5,0.904,1.0,0.826
ext_gemma4-31b_cot_basic_ctexts_s42_run1_20260804_103635.csv,0.4,0.6,0.55,0.904,1.0,0.826
ext_gemma4-31b_cot_basic_ctexts_s42_run1_20260804_103635.csv,0.4,0.6,0.6,0.904,1.0,0.826
ext_gemma4-31b_cot_basic_ctexts_s42_run1_20260804_103635.csv,0.4,0.6,0.65,0.892,0.986,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run1_20260804_103635.csv,0.4,0.6,0.7,0.892,0.986,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run1_20260804_103635.csv,0.4,0.6,0.75,0.892,0.986,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run1_20260804_103635.csv,0.4,0.6,0.8,0.879,0.972,0.802
ext_gemma4-31b_cot_basic_ctexts_s42_run2_20260804_103937.csv,0.4,0.6,0.4,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run2_20260804_103937.csv,0.4,0.6,0.45,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run2_20260804_103937.csv,0.4,0.6,0.5,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run2_20260804_103937.csv,0.4,0.6,0.55,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run2_20260804_103937.csv,0.4,0.6,0.6,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run2_20260804_103937.csv,0.4,0.6,0.65,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run2_20260804_103937.csv,0.4,0.6,0.7,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run2_20260804_103937.csv,0.4,0.6,0.75,0.885,0.986,0.802
ext_gemma4-31b_cot_basic_ctexts_s42_run2_20260804_103937.csv,0.4,0.6,0.8,0.859,0.957,0.779
ext_gemma4-31b_cot_basic_ctexts_s42_run3_20260804_104453.csv,0.4,0.6,0.4,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run3_20260804_104453.csv,0.4,0.6,0.45,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run3_20260804_104453.csv,0.4,0.6,0.5,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run3_20260804_104453.csv,0.4,0.6,0.55,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run3_20260804_104453.csv,0.4,0.6,0.6,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run3_20260804_104453.csv,0.4,0.6,0.65,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run3_20260804_104453.csv,0.4,0.6,0.7,0.897,1.0,0.814
ext_gemma4-31b_cot_basic_ctexts_s42_run3_20260804_104453.csv,0.4,0.6,0.75,0.885,0.986,0.802
ext_gemma4-31b_cot_basic_ctexts_s42_run3_20260804_104453.csv,0.4,0.6,0.8,0.885,0.986,0.802
ext_gemma4-31b_cot_basic_ctexts_s42_run4_20260804_104622.csv,0.4,0.6,0.4,0.89,1.0,0.802
ext_gemma4-31b_cot_basic_ctexts_s42_run4_20260804_104622.csv,0.4,0.6,0.45,0.89,1.0,0.802
ext_gemma4-31b_cot_basic_ctexts_s42_run4_20260804_104622.csv,0.4,0.6,0.5,0.89,1.0,0.802
