file_name,total_extracted,strict_f1,strict_pr,strict_re,strict_tp,strict_fp,strict_fn,content_f1,content_pr,content_re,content_tp,content_fp,content_fn,run,strict_f1_std,strict_f1_ci95,strict_pr_std,strict_pr_ci95,strict_re_std,strict_re_ci95,strict_tp_std,strict_tp_ci95,strict_fp_std,strict_fp_ci95,strict_fn_std,strict_fn_ci95,content_f1_std,content_f1_ci95,content_pr_std,content_pr_ci95,content_re_std,content_re_ci95,content_tp_std,content_tp_ci95,content_fp_std,content_fp_ci95,content_fn_std,content_fn_ci95,total_extracted_std,total_extracted_ci95
ext_multi_agent_run01.csv,80.0,0.434,0.45,0.419,36.0,44.0,50.0,0.831,0.863,0.802,69.0,11.0,17.0,ext_multi_agent_run01.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run02.csv,79.0,0.703,0.734,0.674,58.0,21.0,28.0,0.885,0.924,0.849,73.0,6.0,13.0,ext_multi_agent_run02.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run03.csv,74.0,0.712,0.77,0.663,57.0,17.0,29.0,0.888,0.959,0.826,71.0,3.0,15.0,ext_multi_agent_run03.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run04.csv,77.0,0.442,0.468,0.419,36.0,41.0,50.0,0.822,0.87,0.779,67.0,10.0,19.0,ext_multi_agent_run04.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run05.csv,80.0,0.703,0.734,0.674,58.0,21.0,28.0,0.892,0.925,0.86,74.0,6.0,12.0,ext_multi_agent_run05.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run06.csv,79.0,0.744,0.782,0.709,61.0,17.0,25.0,0.873,0.911,0.837,72.0,7.0,14.0,ext_multi_agent_run06.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run07.csv,80.0,0.703,0.734,0.674,58.0,21.0,28.0,0.843,0.875,0.814,70.0,10.0,16.0,ext_multi_agent_run07.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run08.csv,80.0,0.739,0.772,0.709,61.0,18.0,25.0,0.843,0.875,0.814,70.0,10.0,16.0,ext_multi_agent_run08.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run09.csv,79.0,0.436,0.456,0.419,36.0,43.0,50.0,0.873,0.911,0.837,72.0,7.0,14.0,ext_multi_agent_run09.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run10.csv,77.0,0.395,0.421,0.372,32.0,44.0,54.0,0.871,0.922,0.826,71.0,6.0,15.0,ext_multi_agent_run10.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run11.csv,79.0,0.703,0.734,0.674,58.0,21.0,28.0,0.873,0.911,0.837,72.0,7.0,14.0,ext_multi_agent_run11.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run12.csv,80.0,0.436,0.456,0.419,36.0,43.0,50.0,0.867,0.9,0.837,72.0,8.0,14.0,ext_multi_agent_run12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run13.csv,79.0,0.436,0.456,0.419,36.0,43.0,50.0,0.873,0.911,0.837,72.0,7.0,14.0,ext_multi_agent_run13.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run14.csv,78.0,0.707,0.744,0.674,58.0,20.0,28.0,0.89,0.936,0.849,73.0,5.0,13.0,ext_multi_agent_run14.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run15.csv,80.0,0.739,0.772,0.709,61.0,18.0,25.0,0.831,0.863,0.802,69.0,11.0,17.0,ext_multi_agent_run15.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run16.csv,80.0,0.703,0.734,0.674,58.0,21.0,28.0,0.867,0.9,0.837,72.0,8.0,14.0,ext_multi_agent_run16.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run17.csv,79.0,0.473,0.494,0.453,39.0,40.0,47.0,0.885,0.924,0.849,73.0,6.0,13.0,ext_multi_agent_run17.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run18.csv,82.0,0.515,0.531,0.5,43.0,38.0,43.0,0.821,0.841,0.802,69.0,13.0,17.0,ext_multi_agent_run18.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run19.csv,79.0,0.752,0.785,0.721,62.0,17.0,24.0,0.873,0.911,0.837,72.0,7.0,14.0,ext_multi_agent_run19.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
ext_multi_agent_run20.csv,79.0,0.703,0.734,0.674,58.0,21.0,28.0,0.873,0.911,0.837,72.0,7.0,14.0,ext_multi_agent_run20.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
,79.0,0.6089,0.6381,0.5824,50.1,28.45,35.9,0.8637,0.9022,0.8284,71.25,7.75,14.75,AGGREGATE,0.139,0.0609,0.146,0.064,0.1326,0.0581,11.4197,5.0049,11.5096,5.0443,11.4197,5.0049,0.0231,0.0101,0.0291,0.0127,0.0203,0.0089,1.7434,0.7641,2.4034,1.0533,1.7434,0.7641,1.6222,0.711
