ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,between,Maintain,,,,112,,L/min,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,exceeds,reduce speed by 10% and notify QC,,,26,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drop below,inspect inlet valve within 5 min,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,remain between,Maintain,,195,,175,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,exceeds,"emergency stop ST02, ST03, ST04",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,increase >,schedule maintenance,,,1.5,,,A,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,CORRELATES with speed reduction at ST04_PACKAGING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,,,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,between,Maintain,,2.6,,1.8,,N,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,below,check for label jam. halt if below 100,CRITICAL,,100,110,,pcs/min,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,Tension,STUCK >,sensor failure,,10,,,,consecutive samples,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,exceeds,schedule maintenance within 24 h,WARNING,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,exceeds,emergency stop; inspect bearings,CRITICAL,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,Speed,drops below,verify RULE-ST02-04,,,,1.00,,m/s,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,MUST NOT exceed,,,25,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,exceeds,automatic controlled shutdown of all PLC nodes,CRITICAL,28,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,remain between,Maintain,,8,,0.5,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,above,inspect door seals and activate dehumidifier,,85,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,remain between,Maintain,,20,,10,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,MUST NOT exceed,Activate desiccant system if HUM >45%RH,,50,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-CHM01-03,ProceduralRule,CHM01_CHEMICALSTORAGE,,,Only personnel with hazmat training are authorised to enter Chemical Storage,UNAUTHORIZED_ACCESS must be escalated within 2 minutes,,,,,,,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,remain between,for experimental validity,,26,,18,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-RND01-02,ThresholdRule,RND01_RDLAB,HUM,Humidity,drift above,activate dehumidifier,,65,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-RND01-03,ThresholdRule,RND01_RDLAB,HUM,Humidity,above,suspend sensitive experiments and inspect HVAC system,CRITICAL,75,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-CAF01-01,ThresholdRule,CAF01_CAFETERIA,TMP,Temperature,above,check ventilation system,,26,,,,°C,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
RULE-CAF01-02,ThresholdRule,CAF01_CAFETERIA,HUM,Humidity,above,inspect drainage and activate ventilation,,70,,,,%RH,SOP_001_OperatingProcedures.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
ST01-TMP-T1,ThresholdRule,ST01,TMP,Temperature,TMP < 15,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
ST01-PRS-T1,ThresholdRule,ST01,PRS,Pressure,PRS < 3,Inspect and notify maintenance,CRITICAL,4.8,4.2,3.3,3,bar,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
ST01-FLW-T1,ThresholdRule,ST01,FLW,Flow,FLW < 105,Inspect and notify maintenance,CRITICAL,135,128,112,105,L/min,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
ST02-TMP-T1,ThresholdRule,ST02,TMP,Temperature,TMP < 165,E-STOP ST02/ST03/ST04; inspect element,CRITICAL,210,195,175,165,°C,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
ST02-PRS-T1,ThresholdRule,ST02,PRS,Pressure,PRS < 4.2,Inspect and notify maintenance,CRITICAL,6.2,5.7,4.6,4.2,bar,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
ST02-CUR-T1,ThresholdRule,ST02,CUR,Current,CUR < 9.5,E-STOP; inspect load; verify ST04-SPD (RULE-ST02-04),CRITICAL,15,13.5,11,9.5,A,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
ST03-SPD-T1,ThresholdRule,ST03,SPD,Speed,SPD < 0.65,Inspect and notify maintenance,CRITICAL,1.05,0.95,0.75,0.65,m/s,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
ST03-TEN-T1,ThresholdRule,ST03,TEN,Tension,TEN < 1.5,Inspect and notify maintenance,CRITICAL,3,2.6,1.8,1.5,N,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
ST03-CNT-T1,ThresholdRule,ST03,CNT,Count,CNT < 100,E-STOP labelling; inspect label path,CRITICAL,140,130,110,100,pcs/min,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
ST04-VIB-T1,ThresholdRule,ST04,VIB,Vibration,VIB < 0.01,E-STOP; inspect main bearing,CRITICAL,0.35,0.2,0.02,0.01,mm/s,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
ST04-CUR-T1,ThresholdRule,ST04,CUR,Current,CUR < 6.5,Inspect and notify maintenance,CRITICAL,11,9.8,7.5,6.5,A,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
ST04-SPD-T1,ThresholdRule,ST04,SPD,Speed,SPD < 0.85,Inspect and notify maintenance,CRITICAL,1.6,1.4,1,0.85,m/s,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
SRV01-TMP-T1,ThresholdRule,SRV01,TMP,Temperature,TMP < 16,Activate backup cooling; prepare controlled PLC,CRITICAL,28,25,18,16,°C,SOP_002_AlarmThresholds.txt,gemma3:12b,pre_act,1,gemma3-12b_pre_act_s42_run1,1,False
