ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,primaryFault,resolution,secondaryEffect
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,FlowRate,MUST be maintained between,,,128,,,112,L/min,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,If exceeds,reduce speed by 10% and notify QC.,,26,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,PRS drop below,inspect inlet valve within 5 min.,,,,3.3,,bar,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,MUST remain between,,,195,,175,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,TMP >,"emergency stop ST02, ST03, ST04.",CRITICAL,210,,,,°C,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,CUR increase >1.5 A above nominal sustained >5 min - schedule maintenance.,,,,,,,A,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,CUR drift at ST02_SEALING CORRELATES with speed reduction at ST04_PACKAGING due to shared electrical coupling. Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING.,,,,,,,A,SOP_001_OperatingProcedures.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
ST01_FILLING-TMP,ThresholdRule,Production Line A,TMP,,CRIT_LO,Inspect and notify maintenance,CRITICAL,30,26,18,15,°C,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
ST01_FILLING-PRS,ThresholdRule,Production Line A,PRS,,CRIT_LO,Inspect and notify maintenance,CRITICAL,4.8,4.2,3,3,bar,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
ST01_FILLING-FLW,ThresholdRule,Production Line A,FLW,,CRIT_LO,Inspect and notify maintenance,CRITICAL,135,128,105,120.0±1.5,L/min,SOP_002_AlarmThresholds.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
MAINT-01,ThresholdRule,ST04_PACKAGING,VIB,,VIB DRIFT >0.05 mm/s over 60 min,Inspect and lubricate bearing HIGH,HIGH,0.05,,,,mm/s,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
MAINT-02,ThresholdRule,ST02_SEALING,CUR,,CUR DRIFT >1.0 A for 30+ min,Inspect sealing jaw,HIGH,1.0,,,,A,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
MAINT-03,ThresholdRule,ST03_LABELLING,TEN,,TEN STUCK >10 samples,Replace sensor,MEDIUM,10,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
MAINT-04,ThresholdRule,ST01_FILLING,PRS,,PRS <3.3 bar for >15 min,Inspect filter and pump,MEDIUM,,3.3,>,15,bar,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
MAINT-05,ThresholdRule,SRV01_SERVERROOM,TMP,,TMP >25°C for >5 min,Activate secondary cooling,CRITICAL,25,,>,5,°C,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
MAINT-06,ThresholdRule,WRH01_WAREHOUSE,TMP,,TMP DRIFT >2°C over 2 h,Inspect compressor; notify,QCRITICAL,2,,>22,,°C,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
MAINT-07,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,,TMP >20°C for >10 min,Emergency ventilation; notify CRITICAL,CRITICAL,20,,>,10,°C,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
MAINT-08,ThresholdRule,RND01_RDLAB,HUM,,HUM DRIFT >10%RH over 60 min,Activate dehumidifier; check HVAC HIGH,HIGH,10,,>,60,%RH,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,,,
ST02_SEALING-CUR › → ST04_PACKAGING-SPD ↓ Sealing motor overload,CorrelatedFaultResolution,,,,,,,,,,,,SOP_003_MaintenanceRules.txt,mistralai/mistral-7b-instruct-v0.3,cot_basic,1,mistralai-mistral-7b-instruct-v0_3_cot_basic_run1,1,False,ST02_SEALING-CUR,via electrical coupling 1.Verify ST02-CUR trend. 2.Inspect sealing jaw. 3.Reset ST04,ST04_PACKAGING-SPD ↓
