ruleId,class,station,sensor,sensorType,condition,action,severity,critHi,warnHi,warnLo,critLo,unit,source_file,model_name,paradigm,level,run_id,llm_turns,text_truncated,anomalyType,duration,nominalTolerance,nominalValue,ontologyClass
RULE-ST01-01,ThresholdRule,ST01_FILLING,FLW,Flow,between,maintain,,128,,,112,L/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ST01-02,ThresholdRule,ST01_FILLING,TMP,Temperature,exceeds,reduce speed by 10% and notify QC,warning,,26,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ST01-03,ThresholdRule,ST01_FILLING,PRS,Pressure,drop below,inspect inlet valve within 5 min,critical,,,,3.3,bar,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ST02-01,ThresholdRule,ST02_SEALING,TMP,Temperature,remain between,,,195,,,175,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ST02-02,ThresholdRule,ST02_SEALING,TMP,Temperature,exceeds,"emergency stop ST02, ST03, ST04",critical,210,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ST02-03,ThresholdRule,ST02_SEALING,CUR,Current,increase >1.5 A above nominal sustained >5 min,schedule maintenance,warning,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ST02-04,CorrelationRule,ST02_SEALING,CUR,Current,CUR drift at ST02_SEALING,Monitor ST04_PACKAGING-SPD whenever ST02_SEALING-CUR triggers a WARNING,warning,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ST03-01,ThresholdRule,ST03_LABELLING,TEN,Tension,between,,,2.6,,,1.8,N,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ST03-02,ThresholdRule,ST03_LABELLING,CNT,Count,below,check for label jam; below 100 (CRITICAL): halt,critical,,110,,100,pcs/min,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ST03-03,ThresholdRule,ST03_LABELLING,TEN,Tension,stuck >10 consecutive samples,sensor failure,critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ST04-01,ThresholdRule,ST04_PACKAGING,VIB,Vibration,exceeds,schedule maintenance within 24 h,warning,,0.20,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ST04-02,ThresholdRule,ST04_PACKAGING,VIB,Vibration,exceeds,emergency stop; inspect bearings,critical,0.35,,,,mm/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-ST04-03,ThresholdRule,ST04_PACKAGING,SPD,Speed,drops below,verify RULE-ST02-04,,,,,1.00,m/s,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-SRV01-01,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,exceeds,,,,25,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-SRV01-02,ThresholdRule,SRV01_SERVERROOM,TMP,Temperature,exceeds,automatic controlled shutdown of all PLC nodes,critical,28,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-WRH01-01,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,remain between,,,8,,,0.5,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-WRH01-01-CRIT,ThresholdRule,WRH01_WAREHOUSE,TMP,Temperature,above,notify QC and quarantine batch,critical,12,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-WRH01-02,ThresholdRule,WRH01_WAREHOUSE,HUM,Humidity,above,inspect door seals and activate dehumidifier,warning,,85,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-CHM01-01,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,remain between,,,20,,,10,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-CHM01-01-CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,TMP,Temperature,above,activate emergency ventilation and notify safety officer immediately,critical,25,,,,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-CHM01-02,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,exceeds,activate desiccant system,warning,,50,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-CHM01-02-CRIT,ThresholdRule,CHM01_CHEMICALSTORAGE,HUM,Humidity,above,activate desiccant system,warning,,45,,,%RH,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-CHM01-03,AccessRule,CHM01_CHEMICALSTORAGE,UNAUTHORIZED_ACCESS,AccessControl,,escalate within 2 minutes,critical,,,,,,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
RULE-RND01-01,ThresholdRule,RND01_RDLAB,TMP,Temperature,remain between,,,26,,,18,°C,SOP_001_OperatingProcedures.txt,ministral-3:8b,cot_basic,1,ministral-3-8b_cot_basic_s42_run1,1,False,,,,,
